firm_id,date,text
Tesla,2025-06-24,The National Highway Traffic Safety Administration said Tuesday that it has asked Tesla for information about the apparent errors.
Tesla,2025-06-24,"Though many other videos show robotaxis driving perfectly, if regulators find any major issues, that would likely raise questions about Musk’s repeated statements that the robotaxis are safe and his claim that Tesla will dominate a future in which nearly all cars on road will have no one behind the wheel — or even need a steering wheel at all."
Tesla,2025-06-24,"Passengers in Tesla robotaxis on the road in Austin, Texas, have generally been impressed, and the stock rose 8% Monday."
Tesla,2025-06-24,Tesla did not immediately respond to a request for comment.
Tesla,2025-06-24,A bullish Tesla financial analyst who was driven around in a robotaxi on Sunday when the test runs began said his ride was perfect and suggested the videos on X and YouTube showing errors were no big deal.
Tesla,2025-06-24,"“The system has always had highly erratic performance, working really well a lot of the time but frequently making random and inconsistent but dangerous errors,” said Sam Abuelsamid in a text, referring to Tesla’s self-driving software."
Tesla,2025-06-24,"“This is not a system that should be carrying members of the public or being tested on public roads without trained test drivers behind the wheel.”  In one video, a Tesla moves into a lane with a big yellow arrow indicating it is for left turns only but then goes straight through the intersection instead, entering an opposing lane on the other side."
Tesla,2025-06-24,But the Tesla proceeds in the opposing lane for 10 seconds.
Tesla,2025-06-24,"“I didn’t feel uncomfortable in the situation.”  Another video shows a Tesla stopping twice suddenly in the middle of the road, possibly responding to the flashing lights of police cars."
Tesla,2025-06-24,"But the police are obviously not interested in the Tesla or traffic in front or behind it because they have parked on side roads not near it, apparently responding to an unrelated event."
Tesla,2025-06-24,"A rider boards a driverless Tesla robotaxi, a ride-booking service, Sunday, June 22, 2025, in Austin, Texas."
Tesla,2025-06-24,"(AP Photo/Eric Gay) A rider boards a driverless Tesla robotaxi, a ride-booking service, Sunday, June 22, 2025, in Austin, Texas."
Tesla,2025-06-24,Tesla was forced a recall 2.4 million of its vehicles at the time.
Amazon,2025-06-24,"Other self-driving companies have launched taxis, including Amazon’s Zoox and current market leader Waymo, which is not only is picking up passengers in Austin, but several other cities."
Tesla,2025-06-24,"His work on in Trump administration as cost-cutting czar has alienated many buyers among Tesla’s traditional environmentally conscious and liberal base in the U.S., tanking sales."
Tesla,2025-06-25,These observers expressed a range of views about Tesla’s prospects but all cautioned against assuming a light-speed robotaxi rollout.
Tesla,2025-06-25,Some pointed to advantages Tesla might exploit to overtake rivals including Alphabet’s Waymo and a host of Chinese auto and tech companies.
Tesla,2025-06-25,"Tesla has mass-manufacturing capacity, and it pioneered remote software updates it can use for self-driving upgrades."
Tesla,2025-06-25,"If the software works, Tesla robotaxi could drive any road in the world,” said Seth Goldstein, a Morningstar senior equity analyst, while cautioning that Tesla is still “testing the product.”  In Austin, Tesla launched a choreographed experiment involving maybe a dozen cars, operating in limited geography, with safety monitors in the front passenger seat; remote “teleoperators”; plans to avoid bad weather; and hand-picked pro-Tesla influencers as passengers."
Tesla,2025-06-25,"For years, Musk has said Tesla would soon operate its own autonomous ride-hailing service and also turn any Tesla, new or used, into a cash-generating robotaxi for its customers."
Tesla,2025-06-25,"Musk has said Tesla will reach Mars, in that metaphor, quite quickly: ""I predict that there will be millions of Teslas operating fully autonomously in the second half of next year,"" he said in April."
Tesla,2025-06-25,Musk and Tesla did not respond to requests for comment.
Tesla,2025-06-25,Tesla shares ended 8.2% higher at $348.68 on Monday on investor enthusiasm over the robotaxi launch.
Tesla,2025-06-25,"Given Tesla’s AI-dependent approach, its challenge will be machine-training robotaxis to handle complex traffic “edge cases,” said Philip Koopman, a Carnegie Mellon University computer-engineering professor and autonomous-technology expert."
Tesla,2025-06-25,"“There's no reason to believe Tesla will be any faster.”  LONG SLOG  Waymo’s self-driving efforts date back to 2009, when Google started its self-driving car project."
Tesla,2025-06-25,"Some analysts believe Tesla can expand faster, in part because Waymo has helped pave the way by overcoming regulatory and technical challenges."
Tesla,2025-06-25,"Being a mass-manufacturer also helps Tesla, Miller said."
Tesla,2025-06-25,Waymo buys Jaguar I-PACE SUVs and outfits them with more expensive sensors and technology than Tesla integrates into its vehicles.
Tesla,2025-06-25,Waymo declined to comment on Tesla's robotaxi-expansion potential.
Tesla,2025-06-25,"The precautions Tesla employed in Austin reveal it does not have confidence its technology is safe at scale, Krafcik said."
Tesla,2025-06-25,"“It’s not as safe as it needs to be, and falls well short of the robust approach and well-documented safety that Waymo has demonstrated.”  ‘WRONG SIDE’ OF THE ROAD  Tesla’s go-fast strategy could actually slow its progress and that of the autonomous-vehicle industry if it undermines public trust, some analysts said."
Tesla,2025-06-25,"Tesla has historically faced legal and regulatory trouble involving its Full Self-Driving (FSD) driver-assistance system, which is not fully autonomous."
