firm_id,date,text
Brunswick,2017-11,"20:22:21  [TICREP] (BC.N) - Charles Schwab Investment Management Inc. Purchases 1,765 Shares of Brunswick Co. (NYSE:BC) -"
Brunswick,2017-11,18:34:58  [GLOSTP] (BC.N .SPX) - Monthly: Brunswick (BC: $80.51) increases 2% on thin volume in November 2024 -
Brunswick,2017-11,18:18:49  [MARDAJ] (BC.N) - Brunswick (NYSE:BC) Rating Lowered to Neutral at B. Riley -
Brunswick,2017-11,18:17:03  [TRADAJ] (BC.N) - Brunswick (NYSE:BC) Stock Rating Lowered by B. Riley -
Brunswick,2017-11,09:32:23  [GLOWEE] (BC.N .SPX) - Weekly: Brunswick (BC: $80.51) decreases 0.8% on below average volume; -62c [0.8%] -
Brunswick,2017-11,"07:27:47  [GLOTRA] (BC.N .SPX) - Brunswick (BC: $80.51) keeps sliding, down 6.2% in 3 days; -11c [-0.1%] -"
Brunswick,2017-11,"06:57:42  [GERCOM] (BC.N BWI.F) - German trading: Brunswick (BWI: EUR76.22) inches higher, resistance at 12-day EMA; +36c [0.5%] -"
Brunswick,2017-11,"05:37:41  [GLOTRA] (BC.N .SPX) - Brunswick (BC: $80.51) keeps sliding, down 6.2% in 3 days; -11c [-0.1%] -"
Brunswick,2017-11,"04:43:24  [GLOBUL] (BC.N .SPX) - Brunswick soars 45.3% in 5 years Wednesday November 27, 2024 08:28 EST -"
Brunswick,2017-11,01:53:11  [GLOWEE] (BC.N) - What the Beneish M-score tells us about Brunswick -
Brunswick,2017-11,"00:32:00  [GLOBUL] (BC.N .SPX) - Brunswick soars 45.3% in 5 years Wednesday November 27, 2024 08:28 EST -"
Brunswick,2017-11,17:57:17  [TICREP] (BC.N) - Analysts Set Brunswick Co. (NYSE:BC) PT at $89.23 -
Brunswick,2017-11,04:23:41  [STOCKP] (BC.N) - Brunswick -De () is trading -5.92 percent lower on Thursday 28th of November and has a trading volume of USD 53.4 mn -
Brunswick,2017-11,21:48:03  [GLOWEE] (BC.N) - What the Beneish M-score tells us about Brunswick -
Brunswick,2017-11,09:19:09  [ENTBUS] (BC.N) - Patent Issued for Systems and methods for shifting multi-speed transmissions (USPTO 12135081) -
Brunswick,2017-11,"06:42:17  [GLOBEA] (.GDAXI BC.N) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS BRUNSWICK (BC: $80.74) Wednesday November 27, 2024 07:11 EST -"
Brunswick,2017-11,"06:42:10  [GLOBEA] (.GDAXI BC.N) - Brunswick (BC: $80.73) down 5.9% on analyst downgrade Wednesday November 27, 2024 07:11 EST -"
Brunswick,2017-11,"04:42:28  [GLOBEA] (.GDAXI BC.N) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS BRUNSWICK (BC: $80.74) Wednesday November 27, 2024 07:11 EST -"
Brunswick,2017-11,"04:42:22  [GLOBEA] (.GDAXI BC.N) - Brunswick (BC: $80.73) down 5.9% on analyst downgrade Wednesday November 27, 2024 07:11 EST -"
Brunswick,2017-11,01:52:40  [GLOWEE] (BC.N) - What the Altman-Z score tells us about Brunswick -
Brunswick,2017-11,00:49:22  [GLOSTO] (BC.N) - Wednesday's Preview: Can Brunswick rebound after being down? -
Brunswick,2017-11,"23:52:28  [GLOBEA] (.GDAXI BC.N) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS BRUNSWICK (BC: $80.74) Wednesday November 27, 2024 07:11 EST -"
Brunswick,2017-11,"23:52:17  [GLOBEA] (.GDAXI BC.N) - Brunswick (BC: $80.73) down 5.9% on analyst downgrade Wednesday November 27, 2024 07:11 EST -"
Brunswick,2017-11,23:47:56  [GLOSTO] (BC.N) - ICYMI: Wednesday's Preview: Can Brunswick rebound after being down? -
Brunswick,2017-11,23:37:40  [LOCGOV] (BC.N) - Zoe Fearon and Stephen Young: Children's social care needs wide scale reform -- -
Brunswick,2017-11,22:48:59  [GLOSTO] (BC.N) - ICYMI: Wednesday's Preview: Can Brunswick rebound after being down? -
Brunswick,2017-11,"22:48:39  [NEWNYS] (BC.N) - Brunswick leads Recreational products sector 1% higher Monday, November 25, 2024 10:00:00 -"
Brunswick,2017-11,21:48:20  [GLOWEE] (BC.N) - What the Altman-Z score tells us about Brunswick -
Brunswick,2017-11,21:48:07  [GLOSTO] (BC.N) - Update: Wednesday's Preview: Can Brunswick rebound after being down? -
Brunswick,2017-11,10:08:09  [GLOSTO] (BC.N) - Brunswick (BC: $80.73) shares fall after 3 days of rises; -$5.09 [5.9%] -
Brunswick,2017-11,08:54:12  [GLOSTO] (BC.N) - Brunswick (BC: $80.73) shares fall after 3 days of rises; -$5.09 [5.9%] -
Brunswick,2017-11,07:47:20  [GLOSTO] (BC.N) - Brunswick (BC: $80.45) plunges 6.3% on firm volume; -$5.37 [-6.3%] Vol Index 1.3 [1 is avg] -
Brunswick,2017-11,07:27:51  [GLOTRA] (BC.N) - Brunswick (BC: $80.45) plunges 6.3% on firm volume; -$5.37 [-6.3%] Vol Index 1.3 [1 is avg] -
Brunswick,2017-11,07:22:22  [GLOSTO] (BC.N) - Brunswick (BC: $80.69) tumbles 6.0% on firm volume; -$5.13 [-6.0%] Vol Index 1.2 [1 is avg] -
Brunswick,2017-11,07:12:20  [GLOSTO] (BC.N) - Brunswick (BC: $80.45) plunges 6.3% on firm volume; -$5.37 [-6.3%] Vol Index 1.3 [1 is avg] -
Brunswick,2017-11,07:02:57  [GLOTRA] (BC.N) - Brunswick (BC: $80.69) tumbles 6.0% on firm volume; -$5.13 [-6.0%] Vol Index 1.2 [1 is avg] -
Brunswick,2017-11,"06:42:28  [GLOBUL] (.GDAXI BC.N) - THE NYSE PRE-MARKET BULLISH STOCK SNIPPETS BRUNSWICK (BC: $85.82) Tuesday November 26, 2024 07:11 EST -"
