firm_id,date,text
General Electric,2017-5,{{20170601T041534.092+0000}}WRAPUP 3-Trump hails deals worth 'billions' with Vietnam* Commerce Department says trade deals worth $8 billion
General Electric,2017-5,"WASHINGTON, May 31 (Reuters) - U.S. President Donald Trump talked trade with Vietnamese Prime Minister Nguyen Xuan Phuc during a White House visit on Wednesday and welcomed the signing of business deals worth billions of dollars and the jobs they would create."
General Electric,2017-5,"The U.S. Commerce Department announced 13 new transactions with Vietnam worth $8 billion, including $3 billion worth of U.S.-produced content that would support more than 23,000 American jobs."
General Electric,2017-5,"These include deals for General Electric Co worth $5.58 billion for power generation, aircraft engines and services, its largest-ever combined sale in Vietnam.[nL1N1IX17J]"
General Electric,2017-5,"Caterpillar Inc and its dealer in Vietnam also agreed to provide generator management technology for more than 100 generators in Vietnam, the company said."
General Electric,2017-5,"""They (Vietnam) just made a very large order in the United States - and we appreciate that - for many billions of dollars, which means jobs for the United States and great, great equipment for Vietnam,"" Trump told reporters at the White House."
General Electric,2017-5,"The Commerce Department estimate of the deals was considerably less than the $15 billion figure given by Phuc during a speech at the Heritage Foundation, adding that most of the total involved the import of U.S. equipment."
General Electric,2017-5,"Communist Vietnam has gone from being a Cold War enemy to an important partner for the United States in the Asia-Pacific, where both countries share concerns about China's rising power."
General Electric,2017-5,"Phuc told Trump the relationship had undergone ""significant upheavals in history"" but that the two countries were now ""comprehensive partners."""
General Electric,2017-5,Phuc's meeting with Trump makes him the first Southeast Asian leader to visit the White House under the new administration.
General Electric,2017-5,"However, while Hanoi and Washington have stepped up security cooperation in recent years, trade has become a potential irritant, with a deficit widening steadily in Vietnam's favor, reaching $32 billion last year, compared with $7 billion a decade earlier."
General Electric,2017-5,"Commerce Secretary Wilbur Ross said it was important to shrink the U.S. trade deficit with Vietnam but noted that the southeast Asian country of 80 million people was the fastest-growing market for U.S. exports, rising 77 percent since 2014 to $4.4 billion."
General Electric,2017-5,"""The growth of the middle class and the increasing purchasing power in Vietnam are further incentives to strengthening our long-term trade and investment relationship,"" Ross said."
General Electric,2017-5,"Trump, who has had strong words for countries with large trade surpluses with the United States, said he would be discussing trade with Phuc, as well as North Korea."
General Electric,2017-5,"Washington has been seeking support to pressure North Korea to drop its nuclear and missile programs, which have become an increasing threat to the United States. Hanoi has said it shares concerns about North Korea. [nL1N1I61WZ]"
General Electric,2017-5,"In his Heritage speech, Phuc welcomed Trump's plans to attend the November APEC summit in Hanoi. He called it a sign of U.S. commitment to the region and ""an important occasion for the United States to assert its positive role."""
General Electric,2017-5,"In a reference to somewhat warmer ties between Washington and Beijing under Trump, who has been courting China's support on North Korea, Phuc said Vietnam welcomed good relations between the two powers, but hoped these would serve the interest of other nations in the region too."
