firm_id,date,text
ServiceNow,2017-12,"23:52:48  [GLOBEA] (.GDAXI NOW.N) - Servicenow (NOW: $1,067.70) - PRE-MARKET CONFIRMATORY BEARISH SIGNAL FROM ITS GERMAN LISTING Tuesday December 31, 2024 07:12 EST -"
ServiceNow,2017-12,"23:52:36  [GLOBEA] (.GDAXI NOW.N) - Servicenow (NOW: $1,066.94) keeps sliding, down 3.5% in 3 days Tuesday December 31, 2024 07:12 EST -"
ServiceNow,2017-12,"23:52:31  [GLOBEA] (.GDAXI NOW.N) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS SERVICENOW (NOW: $1,067.70) Tuesday December 31, 2024 07:12 EST -"
ServiceNow,2017-12,23:48:16  [GLOSTO] (NOW.N) - ICYMI: Tuesday's Preview: Can Servicenow rebound after being down? -
ServiceNow,2017-12,22:48:25  [GLOSTO] (NOW.N) - ICYMI: Tuesday's Preview: Can Servicenow rebound after being down? -
ServiceNow,2017-12,21:48:02  [GLOSTO] (NOW.N) - Update: Tuesday's Preview: Can Servicenow rebound after being down? -
ServiceNow,2017-12,19:17:13  [TICREP] (NOW.N) - ServiceNow (NYSE:NOW) Shares Acquired Rep. Marjorie Taylor Greene -
ServiceNow,2017-12,19:14:42  [MARBEA] (NOW.N) - ServiceNow (NYSE:NOW) Shares Acquired Rep. Marjorie Taylor Greene -- -
ServiceNow,2017-12,"14:37:12  [GLOSNI] (NOW.N) - Servicenow (NYSE:NOW) seventh largest contributor to unrealized profit of Software & IT Services in Institutional holdings Monday December 30, 2024... -"
ServiceNow,2017-12,"06:42:14  [GLOBEA] (NOW.N) - Confirmatory Bearish Trend: Servicenow (NOW: $1,058.68) accelerates decline, down 3.7% in 2 days Monday December 30, 2024 11:29 EST -"
ServiceNow,2017-12,"06:42:03  [GLOBEA] (NOW.N .SPX) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS SERVICENOW (NOW: $1,081.46) Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,05:52:11  [GLOSTO] (ORCL.N NOW.N) - Oracle continues to underperform Servicenow by 12.9% in the past month -
ServiceNow,2017-12,"05:42:01  [GLOBUL] (.SPX NOW.N) - Servicenow top gainer in Hanson Mcclain jumps 17.3% in 87 days Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,04:55:34  [GLOSTO] (UBER.N NOW.N) - Uber continues to underperform Servicenow by 19.5% in the past month -
ServiceNow,2017-12,04:55:31  [GLOSTO] (PLTR.N PLTR.O) - Palantir Technologies continues to outperform Servicenow by 19.6% in the past month -
ServiceNow,2017-12,04:55:26  [GLOSTO] (NET.N NOW.N) - Cloudflare continues to outperform Servicenow by 3.9% in the past month -
ServiceNow,2017-12,04:55:16  [GLOSTO] (FICO.N NOW.N) - Fair Isaac continues to underperform Servicenow by 16.4% in the past month -
ServiceNow,2017-12,04:53:11  [GLOSTO] (WDAY.O NOW.N) - Workday continues to underperform Servicenow by 3.3% in the past month -
ServiceNow,2017-12,"04:42:45  [GLOBEA] (NOW.N) - Confirmatory Bearish Trend: Servicenow (NOW: $1,058.68) accelerates decline, down 3.7% in 2 days Monday December 30, 2024 11:29 EST -"
ServiceNow,2017-12,"04:42:37  [GLOBEA] (NOW.N .SPX) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS SERVICENOW (NOW: $1,081.46) Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,"03:47:29  [GLOBUL] (.SPX NOW.N) - Servicenow top gainer in Hanson Mcclain jumps 17.3% in 87 days Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,"03:42:37  [GLOBEA] (NOW.N) - Confirmatory Bearish Trend: Servicenow (NOW: $1,058.68) accelerates decline, down 3.7% in 2 days Monday December 30, 2024 11:29 EST -"
ServiceNow,2017-12,"02:54:07  [GLOTRA] (NOW.N .SPX) - Servicenow (NOW: $1,058.68) accelerates decline, down 3.7% in 2 days; -$22.78 [-2.1%] -"
ServiceNow,2017-12,"02:42:29  [GLOTRA] (NOW.N .SPX) - Servicenow (NOW: $1,058.68) keeps sliding, down 4.2% in 3 days; -$22.78 [-2.1%] -"
ServiceNow,2017-12,"02:08:53  [GLOTRA] (NOW.N .SPX) - Servicenow (NOW: $1,069.0) keeps sliding, down 3.3% in 3 days; -$12.46 [-1.2%] -"
ServiceNow,2017-12,01:53:23  [GLOWEE] (NOW.N) - Servicenow continues to show strength in solvency ratios -
ServiceNow,2017-12,"01:42:35  [GLOBUL] (.SPX NOW.N) - Servicenow top gainer in Hanson Mcclain jumps 17.3% in 87 days Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,00:52:59  [GLOSTO] (NOW.N) - Investors concerned as Servicenow down in recent days -
ServiceNow,2017-12,00:50:17  [DIGINO] (NOW.N) - From governance to collaboration - the AI trends defining 2025 -- -
ServiceNow,2017-12,"00:48:12  [NEWNYS] (USD= NOW.N) - Servicenow leads Software sector down 0.3% Thursday, December 26, 2024 11:00:00 -"
ServiceNow,2017-12,"00:09:01  [GLOBEA] (NOW.N .SPX) - Servicenow (NOW: $1,081.46) - PRE-MARKET CONFIRMATORY BEARISH SIGNAL FROM ITS GERMAN LISTING Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,"00:08:51  [GLOBEA] (NOW.N .SPX) - THE NYSE PRE-MARKET BEARISH STOCK SNIPPETS SERVICENOW (NOW: $1,081.46) Monday December 30, 2024 07:12 EST -"
ServiceNow,2017-12,"23:49:51  [INSMON] (RJF.N NOW.N) - ServiceNow, Inc. (NOW) Poised for Generative AI Monetization; Raymond James Sets $1,200 Price Target with Outperform Rating -- -"
ServiceNow,2017-12,"23:46:44  [YAHNEX] (RJF.N NOW.N) - ServiceNow, Inc. (NOW) Poised for Generative AI Monetization; Raymond James Sets $1,200 Price Target with Outperform Rating -- -"
ServiceNow,2017-12,"22:47:37  [NEWNYS] (USD= NOW.N) - Servicenow in bottom 3% of S&P 500 Index; ranks 12 in today's steepest 20 falls Thursday, December 26, 2024 10:00:00 -"
ServiceNow,2017-12,21:47:36  [GLOWEE] (NOW.N) - Servicenow continues to show strength in solvency ratios -
ServiceNow,2017-12,"16:17:30  [NEWPEO] (NOW.N) - Desai Chirantan Jitendra President of Servicenow in top 11% of NYSE stocks Monday December 30, 2024 -"
