firm_id,date,text
Sinopec Group,2017-8,China Petroleum & Chemical's vice president resigns due to change in job role - Reuters Investor Briefs
Sinopec Group,2017-8,BRIEF-China Petroleum & Chemical's vice president resigns due to change in job role - Reuters News
Sinopec Group,2017-8,{{20170912T104154.104+0000}}BRIEF-China Petroleum & Chemical's vice president resigns due to change in job roleSept 12 (Reuters) - China Petroleum & Chemical Corp <600028.SS><0386.HK>
Sinopec Group,2017-8,* Says vice president Jiang Zhenghong resigns due to change in job role
Sinopec Group,2017-8,"{{20170908T050819.741+0000}}UPDATE 1-China's teapot plants form new club to beat rivals, but will it work?* New alliance to have 1 mln bpd crude oil import quotas -exec"
Sinopec Group,2017-8,"* Few details on new club's members, how alliance would operate"
Sinopec Group,2017-8,"BEIJING, Sept 8 (Reuters) - A group of independent Chinese oil refiners is clubbing together to survive an onslaught by state-owned giants and the rise of private chemical giants, but industry analysts said the new alliance may find it hard to stick."
Sinopec Group,2017-8,"Less than two years after becoming some of China's newest crude oil importers, around 20 independent plants in the eastern industrial heartland of Shandong province plan to form a joint venture to coordinate their production, marketing, crude oil imports and investments. [nL4N1LL391]"
Sinopec Group,2017-8,"The new alliance, to be called the Shandong Refining & Chemical Group, is to be headquartered in the provincial capital Jinan, and as envisioned will be an upgrade on a crude-buying federation set up in early 2016 by some of the same members."
Sinopec Group,2017-8,"The new group of ""teapot"" refiners aims to pool funds and resources to produce fuels and chemicals more efficiently as they battle stiff competition in an increasingly saturated market and under tightened environmental and tax scrutiny. [nL3N1HB3MP]"
Sinopec Group,2017-8,"""We see the need to advance to the next stage as we face competition from both the national team and the provincial team. We can't afford operating like a plate of scattered sand,"" said Zhang Liucheng, a vice president of Shandong Dongming Petrochemical Group [SDHLYD.UL], one of the initiators of the stronger alliance."
Sinopec Group,2017-8,"The earlier crude-purchasing club was too loose an organization and did not have much success, Zhang said."
Sinopec Group,2017-8,"But while Shandong Dongming and fellow founding member Qingyuan Group are trying to build a more formal structure, including registering the new company as early as next week with a capitalisation of 50 billion yuan ($7.7 billion), there are few details such as a list of members and when they will start to commit funding."
Sinopec Group,2017-8,Analysts said pooling the assets and coordinating the investments of 20 plants that have multiple private and local government owners will be a huge challenge.
Sinopec Group,2017-8,"""The new group shall have bigger political bargaining power ... but it will be hugely difficult to align all the various interests,"" said Harry Liu, of consultancy IHS Markit."
Sinopec Group,2017-8,"That was reflected in the comments of an executive of a teapot refiner that was a member of the crude buyers' club: ""Each plant has its unique product lines and marketing strategies, and every new investment is a result of thorough market studies. How would you expect the new group to coordinate?"""
Sinopec Group,2017-8,The executive said his company was waiting to see a concrete action plan before agreeing to participate.
Sinopec Group,2017-8,"State-owned rivals Sinopec <600028.SS> and PetroChina <601857.SS> operate larger, more sophisticated plants, and have influence over government policies such as fuel export quotas, which are highly sought after as China's refined product output far exceeds demand. [nL4N1LH4J0] [nL3N1GN2JR]"
Sinopec Group,2017-8,"Jiao Chong, managing director of Qingyuan Group, said the new venture could use its larger market presence to lobby the government."
Sinopec Group,2017-8,"The planned group would have a combined crude oil import quota of over 50 million tonnes a year, or 1 million barrels per day, an amount on par with smaller state companies like Sinochem [SASADA.UL] and China National Offshore Oil Company (CNOOC)."
Sinopec Group,2017-8,"""We can become a stronger voice in lobbying for policies like fuel export quotas,"" Jiao said."
Sinopec Group,2017-8,"The need for the independent refiners to club together is heightened by the emergence of new rivals, such as provincial government-backed private chemical giants like Rongsheng Holding Group and Hengli Group [HLGRP.UL] that are building or planning refining complexes on China's eastern coast."
Sinopec Group,2017-8,"Rongsheng's first 400,000 bpd refinery is slated to start up as early as end-2018. [nL3N1AW3A4]"
Sinopec Group,2017-8,"Hengli, a privately-owned chemicals producer, is building a similar-sized refining complex, industry officials said."
Sinopec Group,2017-8,"""New investments by the likes of Rongsheng have the integration skills and scale of production that teapots could barely rival, "" said IHS' Liu."
Sinopec Group,2017-8,"Shandong Dongming is China's largest teapot refiner with a total operating capacity of 240,000 bpd."
