firm_id,date,text
Chevron,2017-5,"{{20170602T182423.405+0000}}BUZZ- DJI: Welcome back to new highs club** DJI <.DJI> finally surpasses its Mar 1 intraday peak, ends its new high dry spell at just over 3 months [nL1N1IR0JJ]"
Chevron,2017-5,"** Index now up 7.4 pct YTD, with gains led by Apple , Boeing , and McDonald's ; these 3 stocks responsible for about 1/2 of Dow's 1454 pt rise [nL1N1IP0KF]"
Chevron,2017-5,"** Indeed, it took 65 trading days (tds) from the Mar 1 peak for DJI to set new record, exactly meeting the 65 tds a 38.2 pct Fibo time correction of Jun 2016/Mar 2017 rise called for [nL1N1IE169]"
Chevron,2017-5,"** And although number of internal measures had not been confirming recent S&P 500 <.SPX>, Nasdaq <.IXIC> highs [nL1N1IY0LG] [nL1N1IX1EO], strength erasing some divergences"
Chevron,2017-5,"** For example, NYSE new yearly highs <.AD.N> now clearly thrusting above 7-month resistance line, confirming breakout"
Chevron,2017-5,"** Thus, DJI can be in 5th wave up from early 2016 trough (Elliott Wave terms)"
Chevron,2017-5,** Wave 5 Fibo projs 21397.43 then 21711.86/22026.29 (another 1-4 pct upside). This would fit with risks for a summer slog [nL1N1IZ0HX]
Chevron,2017-5,"** However, wave equality with Feb/Apr 2016 advance (5=1) can suggest potential for 23044.17 (close to 9 pct additional upside)"
Chevron,2017-5,{{20170602T171352.961+0000}}U.S. drillers add oil rigs for record 20th week in a row -Baker HughesBy Scott DiSavino
Chevron,2017-5,record 20th week in a row in a year-long return to the well pad
Chevron,2017-5,although some analysts expect the pace of additions could level
Chevron,2017-5,"Drillers added 11 oil rigs in the week to June 2, bringing"
Chevron,2017-5,"the total count up to 733, the most since April 2015, energy"
Chevron,2017-5,That is more than double the same week a year ago when there
Chevron,2017-5,Monthly additions in May were at the lowest levels since
Chevron,2017-5,The recovery in oil prices has stalled since February and
Chevron,2017-5,prices are now no higher than they were a year ago. Experience
Chevron,2017-5,"indicates the rig count will stop rising within a few months,"
Chevron,2017-5,"""The active rig count is likely to peak in June or July"
Chevron,2017-5,putting the front-month on track for a second weekly decline in
Chevron,2017-5,abandon a climate pact could spark more crude drilling in the
Chevron,2017-5,"investment bank Piper Jaffray, this week forecast the total oil"
Chevron,2017-5,"That compares with an average of 798 so far in 2017, 509 in"
Chevron,2017-5,"be the most since 2014 when there were 1,862 active rigs. The"
Chevron,2017-5,U.S./Canada natural gas rig count versus Henry Hub futures price
Chevron,2017-5,"((For Thomson Reuters Analytics, see: cpurl://apps.cp./cms/?pageid=usa-gas"
Chevron,2017-5,"For a list of all Baker Hughes rig counts around the world, see:"
Chevron,2017-5,"{{20170602T142314.979+0000}}GLOBAL LNG-Prices inch lower as Gorgon plant restarts productionJune 2 (Reuters) - Asian spot LNG prices edged lower this week as the early restart of Chevron's Gorgon production facility in Australia weighed on sentiment, projects offered supply and demand from Japan stayed weak."
Chevron,2017-5,"Spot prices for July delivery were assessed at $5.40 per million British thermal units (mmBtu), down 5 cents from last week."
Chevron,2017-5,"""The market is coming off as supply is doing well and demand is mostly covered,"" a Singapore-based trader said."
Chevron,2017-5,The early restart of Gorgon's first production line on Wednesday provided an unexpected boost to Asian supplies after operator Chevron initially estimated the outage would last until mid-June. [nL8N1IX43X]
Chevron,2017-5,Project stakeholder Exxon Mobil launched a tender to sell one cargo for delivery in the second half of June days before news of the facility's restart was made public.
Chevron,2017-5,"""The Gorgon sell tender came as a surprise,"" a second Singapore-based trading source said, adding that a recent Nigerian tender offering three June-loading cargoes was also unexpected."
Chevron,2017-5,"The various supply tenders from Angola, Nigeria and Australia, which offered June-loading cargoes, came amid muted summer demand from north Asian buyers."
Chevron,2017-5,"""The Japanese are all filled up. They have left over supplies from a mild winter,"" the second Singapore trader said."
Chevron,2017-5,"Any downside to Asia spot prices could be capped by relatively firm European demand, including in Spain, traders said."
Chevron,2017-5,"Results from the Nigerian and Angolan sell tender are expected to emerge in the coming days, but Asian LNG market participants said it was unlikely that the cargoes would be sold to Asia given the strength in Atlantic prices."
Chevron,2017-5,"{{20170602T133414.260+0000}}UPDATE 1-Rosneft expands in Iraq's Kurdistan with exploration, pipeline deals* Signs production-sharing deals for five oil blocks"
