firm_id,date,text
Exxon,2017-12,Dec 28 (Reuters) - The following are the top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.
Exxon,2017-12,"{{20171228T111351.000+0000}}With new gas deals, Egypt closes in on energy hub goalCAIRO, Dec 28 (Reuters)"
Exxon,2017-12,"CAIRO, Dec 28 (Reuters) - Egypt is set to inaugurate a new wharf for natural gas and petroleum product tankers on the Gulf of Suez in the coming days, another step in its plan to become a regional energy hub."
Exxon,2017-12,"The new 2.5 km wharf is being built by SUMED, which for decades has operated two pipelines from the Red Sea to the Mediterranean."
Exxon,2017-12,"The wharf will have three berths to receive natural gas and petroleum products carriers. It is due to be completed by the end of the month, Al-Masry Al-Youm newspaper quoted SUMED chairman Mohamed Abdel-Hafez as saying. Abdel-Hafez confirmed the remarks in a text message to Reuters."
Exxon,2017-12,The country has been building fuelling depots for ships along the Suez Canal and expanding its refining capacity. It has an extensive pipeline network and two idle gas liquefaction plants ready to export new gas as it arrives.
Exxon,2017-12,"SUMED, owned 50 percent by the Egyptian government and the rest by Arab oil exporters in the Gulf, is spending $415 million to expand its facilities, mainly at the Red Sea end."
Exxon,2017-12,"It is also building nine 300,000 cubic metre petroleum storage tanks and loading and offloading facilities. The tanks are due to be completed by the end of 2018, Abdel-Hafez said."
Exxon,2017-12,"NBK-Egypt provided $300 million in financing for the project, the bank said in May."
Exxon,2017-12,The country believes its strategic location straddling the Suez Canal and the land bridge between Asia and Africa and its well developed infrastructure will help turn it a trading and distribution centre for countries in the region and beyond.
Exxon,2017-12,A slew of announcements of new gas production and the expansion of its infrastructure have helped advance the plan.
Exxon,2017-12,"Italy's Eni this month delivered the first gas from Egypt's giant offshore Zohr field, whose estimated 30 trillion cubic feet (tfc) makes it the biggest gas field in the Mediterranean, and BP delivered the first gas from another offshore field, Atoll, north of Port Said."
Exxon,2017-12,"Egyptian President Abdel Fattah al-Sisi's government has announced the hub approach part of its energy policy, but still faces logistical and political obstacles to its goal."
