firm_id,date,text
Ford Motor,2017-2,"{{20170301T100634.567+0000}}UK union fears for jobs at Ford's Welsh engine plant LONDON, March 1 (Reuters) - Britain's biggest trade union fears that more than 1,000 jobs could be lost at Ford's engine plant in Wales despite reassurances from the U.S. carmaker that similar levels of employment will be needed in the coming years."
Ford Motor,2017-2,"Ford, Britain's biggest engine builder, said last year it was scaling back investment due to lower than anticipated demand for one of its petrol engines, prompting the Unite union to call on the firm to provide a plan for how it would maintain output."
Ford Motor,2017-2,"""It is our belief that... there is no future business plan for the plant, that our concerns are going to be realised, that two thirds of the plant, that's at least 1,160 jobs will be at risk,"" Andy Richards, Unite's Welsh Secretary told the BBC."
Ford Motor,2017-2,"A spokesman at Ford told Reuters that the firm, which made around one third of Britain's total output of 2.4 million engines at Bridgend in 2015, was not planning significant cuts."
Ford Motor,2017-2,"""The anticipated production volume of engines from Bridgend remains healthy in the upcoming years, with associated labour requirements expected to be similar to today's level,"" he said."
Ford Motor,2017-2,"A meeting is due to take place on Wednesday between Ford and the unions, Richards told the BBC."
Ford Motor,2017-2,{{20170301T074949.743+0000}}UPDATE 2-UK Stocks-Factors to watch on March 1(Adds company news item)
Ford Motor,2017-2,"March 1 (Reuters) - Britain's FTSE 100 <.FTSE> index is seen opening up 23.1 points on Wednesday, according to financial bookmakers, with futures up 0.1 percent ahead of the cash market open."
Ford Motor,2017-2,"* The UK blue chip index closed 0.1 percent higher at 7263.44 on Tuesday, as gains by GKN Plc and Pearson Plc outweighed losses from basic resources stocks. [nL5N1GD7H8]"
Ford Motor,2017-2,"* UNILEVER: Unilever is proposing changes to how it pays executives and directors in order to make them think more like owners of the business, less than two weeks after seeing off a $143 billion takeover pursuit by U.S. rival Kraft Heinz . [nL5N1GD661]"
Ford Motor,2017-2,"* VODAFONE: Sky Network Television will not yet cancel its agreement to buy Vodafone's New Zealand unit after the country's competition regulator rejected the proposal, the firms said. [nL3N1GD5GQ]"
Ford Motor,2017-2,"* MITIE: Britain's Mitie has agreed to sell its loss-making home healthcare business to specialist healthcare investor Apposite Capital for 2 pounds and will take a larger charge in full-year results to writedown the value of the business, it said on Wednesday. [nL3N1GE30J]"
Ford Motor,2017-2,"* INCHCAPE: International dealership firm Inchcape posted a 12 percent increase in underlying pre-tax profit on Wednesday and said it was continuing to benefit from the fall in the pound, as most of its sales came from abroad. [nASN0005O7]"
Ford Motor,2017-2,"* INTERNATIONAL PERSONAL FINANCE PLC: Consumer credit lender International Personal Finance Plc's (IPF) full-year pretax profit fell 20.2 percent, hurt by lower income from the home credit business, its biggest unit, and higher investment in its digital platform. [nL3N1GE352]"
Ford Motor,2017-2,"* UK PRICES: Prices in British shops showed the smallest annual decline in over three years last month, adding to signs of growing inflation pressures after last year's post-referendum fall in the pound, data showed on Wednesday. [nU8N15B03G]"
Ford Motor,2017-2,"* SCOTLAND: The ""sheer intransigence"" of the British government over Brexit could lead to a second Scottish independence referendum, the head of the devolved Scottish government said on Tuesday. [nL5N1GD1M1]"
Ford Motor,2017-2,"* GLOBAL MARKETS: U.S. stock futures pared gains on Wednesday on disappointment that President Donald Trump did not offer further details on his plans for infrastructure spending and tax reforms, but the dollar firmed on growing expectations of a rate hike this month. [nL3N1GE03A]"
Ford Motor,2017-2,"* ITV: ITV , Britain's biggest free-to-air commercial broadcaster, reported a 3 percent rise in adjusted earnings per share (EPS) as growth in its studios production business more than offset a drop in advertising revenue. [nL5N1GE1K6]"
Ford Motor,2017-2,"* BRITAIN HOUSING PRICES: British house price rises unexpectedly picked up speed in February, recovering from the weakest month for more than a year in January, mortgage lender Nationwide said on Wednesday. [nEONH2N0SK]"
Ford Motor,2017-2,* OIL: Crude oil prices rose on Wednesday as the dollar trimmed gains and a speech by U.S. President Donald Trump offered little on plans by his administration to boost U.S. oil production. [nL3N1GE1NH]
Ford Motor,2017-2,"* FEDERAL RESERVE: A handful of Federal Reserve policymakers on Tuesday jolted markets into higher expectations for a March U.S. interest rate increase, with comments that suggested rate-setters are worried about waiting too long in the face of pending economic stimulus from Washington. [nL2N1GE03R]"
Ford Motor,2017-2,"* For more on the factors affecting European stocks, please click on: cpurl://apps.cp./cms/?pageId=livemarkets"
Ford Motor,2017-2,{{20170301T065355.054+0000}}UK Stocks-Factors to watch on March 1March 1 (Reuters) - Britain's FTSE 100 <.FTSE> index is seen opening up 23.1
Ford Motor,2017-2,"* The UK blue chip index closed 0.1 percent higher at 7263.44 on Tuesday, as"
Ford Motor,2017-2,gains by GKN Plc  and Pearson Plc  outweighed losses from basic
Ford Motor,2017-2,executives and directors in order to make them think more like owners of the
Ford Motor,2017-2,"business, less than two weeks after seeing off a $143 billion takeover pursuit"
Ford Motor,2017-2,agreement to buy Vodafone's New Zealand unit  after the country's
Ford Motor,2017-2,* 21ST CENTURY FOX/SKY: Rupert Murdoch's Twenty-First Century Fox Inc
Ford Motor,2017-2,could formally notify the European Commission of its 11.7 billion pound
Ford Motor,2017-2,"($14.47 billion) takeover offer for Sky as soon as Thursday, after which the UK"
Ford Motor,2017-2,culture secretary will decide whether to launch a probe into the extent of
Ford Motor,2017-2,"* FORD: U.S. carmaker Ford Motor Co  plans to cut 1,160 jobs at its at"
Ford Motor,2017-2,* UK PRICES: Prices in British shops showed the smallest annual decline in
Ford Motor,2017-2,"over three years last month, adding to signs of growing inflation pressures"
Ford Motor,2017-2,"after last year's post-referendum fall in the pound, data showed on Wednesday."
Ford Motor,2017-2,"lacks ""clear actions and milestones"", the head of the Confederation of British"
Ford Motor,2017-2,"Industry will say on Wednesday, challenging ministers to set out what exactly"
Ford Motor,2017-2,"* SCOTLAND: The ""sheer intransigence"" of the British government over Brexit"
Ford Motor,2017-2,"could lead to a second Scottish independence referendum, the head of the"
Ford Motor,2017-2,disappointment that President Donald Trump did not offer further details on his
Ford Motor,2017-2,"plans for infrastructure spending and tax reforms, but the dollar firmed on"
Ford Motor,2017-2,* OIL: Crude oil prices rose on Wednesday as the dollar trimmed gains and a
Ford Motor,2017-2,speech by U.S. President Donald Trump offered little on plans by his
Ford Motor,2017-2,"jolted markets into higher expectations for a March U.S. interest rate increase,"
Ford Motor,2017-2,with comments that suggested rate-setters are worried about waiting too long in
Ford Motor,2017-2,"* For more on the factors affecting European stocks, please click on: cpurl://apps.cp./cms/?pageId=livemarkets"
Ford Motor,2017-2,Multimedia versions of Reuters Top News are now available for:
Ford Motor,2017-2,{{20170301T010815.657+0000}}UPDATE 1-German automakers top U.S. magazine brand rankings(Adds Fiat Chrysler reaction)
Ford Motor,2017-2,"Jake Fisher, director of auto testing at the magazine, said"
Ford Motor,2017-2,but making a whole lineup of excellent ones is much more
Ford Motor,2017-2,second and third. General Motors Co's  Buick brand was the
Ford Motor,2017-2,"in 2016, while Ford Motor Co's namesake brand fell from 16th to"
Ford Motor,2017-2,"to 11th place, falling out of the top 10 for the first time in"
Ford Motor,2017-2,"recent years, after the magazine said its Tacoma pickup had"
Ford Motor,2017-2,"GM's Chevrolet Cruze was named best compact car, while its"
Ford Motor,2017-2,Other top picks included the Honda Ridgeline as best compact
Ford Motor,2017-2,"pickup, Kia Optima best midsized sedan and Audi Q7 best luxury"
Ford Motor,2017-2,"The Fiat brand remained last again among all brands rated,"
Ford Motor,2017-2,"Reports does not recommend any Fiat Chrysler vehicles, while it"
Ford Motor,2017-2,"The company added it is ""aggressively pursuing both product and"
Ford Motor,2017-2,"Ford plans to cut 1,160 jobs at Bridgend plant- ITV News - Reuters Investor Briefs"
Ford Motor,2017-2,"{{20170228T222552.543+0000}}BRIEF-Ford plans to cut 1,160 jobs at Bridgend plant- ITV News Feb 28 (Reuters) -"
Ford Motor,2017-2,"* Ford Motor Co has drawn up plans to cut 1,160 jobs at its engine plant in Bridgend, Wales over the next four years - ITV"
Ford Motor,2017-2,{{20170228T204238.985+0000}}CORRECTED-COLUMN-Will Takata plea deal kill civil suits against automakers?: Frankel(Corrects the figure in graf 7 from 8 million to 8 billion)
Ford Motor,2017-2,"NEW YORK, Feb 28 (Reuters) - Late this afternoon, the automakers Honda, Ford, Toyota, Nissan, Mazda and BMW will head to federal court in Miami to argue that a $1 billion plea agreement between the U.S. Justice Department and the airbag maker Takata Corporation should absolve them from liability for installing dangerous Takata airbags in tens of millions of cars sold in the U.S."
Ford Motor,2017-2,"As my colleague Joe White has reported, Takata has agreed to set up an $850 million fund to compensate automakers for the cost of replacing recalled airbags. [nL2N1GC1E1]"
Ford Motor,2017-2,"Owners of the cars, who are suing the automakers for economic damages in consolidated litigation, have a rather different view of the implications of Takata's guilty plea, which was approved Monday by U.S. District Judge George Steeh of Detroit. Their lawyers, led by Peter Prieto of Podhurst Orseck, claim to have plenty of evidence that carmakers were independently aware of problems with Takata's airbags."
Ford Motor,2017-2,"Takata's guilty plea, car owners argued in a status report filed Monday with U.S. District Judge Federico Moreno of Miami, proves nothing at all about what the carmakers themselves knew about flaws in the airbags, which were installed even after car owners began reporting dangerous ruptures."
