firm_id,date,text
General Electric,2017-9,UPDATE 1-Air France flight with engine damage makes emergency landing in Canada - Reuters News
General Electric,2017-9,"{{20170930T194021.392+0000}}UPDATE 1-Air France flight with engine damage makes emergency landing in CanadaSept 30 (Reuters) - An Air France flight from Paris to Los Angeles made an emergency landing in eastern Canada on Saturday after one of its four engines sustained ""serious damage"" over the Atlantic, the airline said."
General Electric,2017-9,"Air France Flight 66, originating at Paris Charles de Gaulle Airport, landed at Goose Bay in Labrador at 1542 GMT, the airline said, and no one was hurt in the incident."
General Electric,2017-9,"""The regularly trained pilots and cabin crew handled this serious incident perfectly,"" the airline said in a statement."
General Electric,2017-9,"The aircraft involved in the incident was an Airbus 380 that was about seven years old, according to airfleets.net, an aircraft database. The engine was made by Engine Alliance, a joint venture between General Electric Co and United Technologies Corp's Pratt & Whitney unit."
General Electric,2017-9,The forced landing in Canada's easternmost province is reminiscent of an incident seven years ago in which one of the Rolls Royce engines on a Qantas A380 suffered mid-engine damage after taking off in Singapore. The November 2010 incident prompted the grounding of the entire Qantas A380 fleet -- six A380s at the time -- for over three weeks.
General Electric,2017-9,Officials with the Transportation Safety Board of Canada could not immediately be reached for comment on Saturday. The airline said it was making arrangements to send the plane's passengers to their destination of Los Angeles.
General Electric,2017-9,Aircraft on trans-Atlantic flights commonly use Goose Bay Airport in the province of Newfoundland and Labrador for emergency fueling stops.
General Electric,2017-9,{{20170929T172105.834+0000}}U.S. drillers add oil rigs for first week since mid-August -Baker HughesSept 29 (Reuters) - U.S. energy companies added oil rigs for
General Electric,2017-9,stalled in August as crude prices were on track for their
General Electric,2017-9,"The U.S. oil rig count, however, is down for the second"
General Electric,2017-9,month in a row and posted its biggest monthly and quarterly
General Electric,2017-9,"Drillers added six oil rigs in the week to Sept. 29,"
General Electric,2017-9,Baker Hughes energy services firm said in its closely followed
General Electric,2017-9,"The rig count, an early indicator of future output, is still"
General Electric,2017-9,higher than the 425 active oil rigs a year ago as energy
General Electric,2017-9,"For the month of September, the rig count fell by nine,"
General Electric,2017-9,"The rig count also dropped by six in the third quarter, the"
General Electric,2017-9,first decline over a three-month period since the second quarter
General Electric,2017-9,"Crude prices were up over 9 percent so far this month, the"
General Electric,2017-9,"five of the past six months, including a near 6 percent drop in"
General Electric,2017-9,August as rising U.S. output helped to add to a global glut.
General Electric,2017-9,"In spite of higher oil prices, Total SA  this week"
General Electric,2017-9,have trimmed their investments for this year due to the drop in
General Electric,2017-9,"crude prices, they still planned to spend much more this year"
General Electric,2017-9,"forecast for the total oil and gas rig count, now expecting it"
General Electric,2017-9,"to rise to an average of 973 in 2017, 1,004 in 2018 and 1,084 in"
General Electric,2017-9,"That compares with 861 oil and gas rigs so far in 2017, 509"
General Electric,2017-9,U.S./Canada natural gas rig count versus Henry Hub futures price
General Electric,2017-9,"((For Thomson Reuters Analytics, see: cpurl://apps.cp./cms/?pageid=usa-gas"
General Electric,2017-9,"For a list of all Baker Hughes rig counts around the world, see:"
General Electric,2017-9,{{20170928T122547.210+0000}}BRIEF-Allocadia reports winners of 2017 runmarketing awardsSept 28 (Reuters) - General Electric Co :
General Electric,2017-9,"* Allocadia announces winners of 2017 runmarketing awards; GE Digital, Microsoft, Red Hat, Smartbear, and Intralinks take top spots"
General Electric,2017-9,"UPDATE 2-India says GE diesel locomotive factory on track, but to pursue electrification  - Reuters News"
General Electric,2017-9,"{{20170928T104724.288+0000}}UPDATE 2-India says GE diesel locomotive factory on track, but to pursue electrification * US firm concerned about policy changes"
General Electric,2017-9,* One of the largest railways contracts given to a foreign firm
General Electric,2017-9,"NEW DELHI, Sept 28 (Reuters) - General Electric's plan to build a diesel locomotive factory in eastern India is proceeding as planned, the nation's railways minister said on Thursday, aiming to allay the U.S. firm's concerns that India was unilaterally making changes to the contract."
General Electric,2017-9,Piyush Goyal's comments came after GE said this week that the Indian government could incur costs and its 'Make in India' initiative would be undermined if the railway ministry went ahead with changes to the scope of a joint venture of GE and the state-controlled network. [nL4N1M74VK]
General Electric,2017-9,"""Work in the factory is going on as per plan,"" he told reporters."
General Electric,2017-9,"GE had won a $2.6 billion contract in 2015 to supply the railways with 1,000 diesel locomotives and began work on a plant in an impoverished corner of eastern India, in one of the largest direct foreign investment projects in the South Asian nation."
General Electric,2017-9,But the railways ministry said last week it wouldn't need diesel engines after all - hoping to save on fuel and maintenance costs - and suggested GE might want to make electric locomotives instead.
General Electric,2017-9,"The contract to GE is one of the largest to be awarded to a foreign firm since India allowed 100 percent foreign direct investment in parts of its railways, and is part of a $137 billion programme to overhaul the vast but dilapidated network by 2020."
General Electric,2017-9,The uncertainty over the railway locomotives investment has come at a time when the government is facing political pressure after economic growth slowed to its weakest pace in three years. [nL8N1LI008]
General Electric,2017-9,A government source said Prime Minister Narendra Modi's office had intervened after GE raised its concerns and the railways had not made a written proposal for a change of plans from diesel to an all-electric fleet to power the world's fourth largest rail network.
