firm_id,date,text
General Motors,2017-2,"{{20170228T104750.429+0000}}UPDATE 3-Takata plea, compensation deal clears path to potential sale* Takata to pay $1 billion settlement as part of guilty plea"
General Motors,2017-2,"(Adds details on Takata sponsor search, comments from analyst, automakers)"
General Motors,2017-2,"DETROIT, Feb 27 (Reuters) - Japan's Takata Corp <7312.T> removed a major obstacle to its potential sale or restructuring, pleading guilty on Monday in a U.S. federal court to a felony charge as part of a $1 billion settlement that included compensation funds for automakers and victims of its faulty airbag inflators."
General Motors,2017-2,"U.S. District Court Judge George Steeh approved the previously agreed settlement, despite objections from lawyers for victims of Takata inflator explosions that the criminal settlement identified automakers as victims of fraudulent activity."
General Motors,2017-2,Steeh said automakers could be victims of Takata's decisions to hide evidence over 15 years that its inflators were defective and still be subject to civil litigation for harm done to individuals.
General Motors,2017-2,"With the criminal settlement and penalties set in the United States, where the majority of air bag-related fatalities and injuries have occurred, Takata is expected to continue its search for a buyer or financial backer, a process which has dragged on for a year."
General Motors,2017-2,"""Achieving a plea bargain in the United States shows some progress, and could help to revive stagnated talks in Japan,"" SBI Securities senior analyst Koji Endo said in Tokyo."
General Motors,2017-2,"Any deal will require agreement with its automaker clients over whether Takata's restructuring should be managed privately, or through the courts, a sensitive issue for the founding Takada family, which holds a majority stake in the company."
General Motors,2017-2,"Steeh said he considered imposing a stiffer sentence, noting federal guidelines allowed for up to $1.5 billion in fines. But the judge said he approved the settlement because Takata could otherwise be pushed into bankruptcy, delaying efforts to replace millions of potentially deadly inflators still on the road."
General Motors,2017-2,"""Destruction of the corporation would probably have been a fair outcome in this case,"" Steeh said, adding he had been involved in a separate case in which Takata had admitted to price fixing."
General Motors,2017-2,"Lawyers for U.S. vehicle owners have sued Honda Motor Co <7267.T>, Nissan Motor Co <7201.T>, BMW AG , Ford Motor Co , Mazda Motor Corp <7261.T>, Toyota Motor Corp <7203.T> and other automakers, alleging they knew about the defective Takata inflators for years but kept using them."
General Motors,2017-2,"Lawyers for vehicle owners said in a court filing on Monday in Florida that automakers acted ""recklessly"" because ""they were focused on the low price of Takata's inflators and concerned that if they stopped using Takata's inflators, they might not have a sufficient supply."""
General Motors,2017-2,"Honda said in a statement the filing was ""misleading"", adding that ""the suggestion that Honda chose to use Takata airbag inflators - despite knowing of the risk of rupture - because they were less expensive than other inflators is categorically false."""
General Motors,2017-2,At least 16 deaths have been linked to exploding Takata inflators. The defects have led 10 automakers to recall more than 31 million cars worldwide since 2008. All but one of the deaths have occurred in Honda vehicles.
General Motors,2017-2,"The automakers could face costs to replace all the defective airbags ""that would be 5, 6 or 9 times the $850 million"" set aside in the fund, Steeh said, indicating the total replacement cost could be more than $7.6 billion. The Takata airbag recall is the largest ever for the auto industry."
General Motors,2017-2,"In January, Takata agreed to establish two independently administered restitution funds: one for $850 million to compensate automakers for recalls, and a $125 million fund for individuals physically injured by Takata's airbags who have not already reached a settlement with the company."
General Motors,2017-2,"U.S. senators called for more compensation for victims and voiced their opposition to automakers receiving any payments, arguing that Monday's filing in Florida raised the possibility of their ""possible complicity in Takata's fraud""."
General Motors,2017-2,"""No automaker should receive a single dollar until we fully understand their involvement in this fraud and how they so massively failed to protect their customers,"" they said in a statement."
General Motors,2017-2,"""While today's guilty plea from Takata is welcome news, this is not nearly the end of this sad saga."" Automakers in the United States are set to continue recalling defective inflators through 2020. U.S. safety regulators have said automakers are responsible for replacing defective airbags no matter what happens to Takata. [nL1N1D312K]"
General Motors,2017-2,Takata is seeking financial backers as it faces potentially billions of dollars in recall-associated costs. It has not identified what company has been selected by a steering committee leading that process.
General Motors,2017-2,"Key Safety Systems (KSS), a Chinese-owned auto supplier, is the leading candidate, people familiar with the process said in early February. A person briefed on the matter told Reuters on Monday a decision may be reached by the end of March. [nL4N1FP02N]"
General Motors,2017-2,"Takata has denied investor speculation that it would have to seek some form of bankruptcy protection in the United States or Japan. However, during the court hearing, Judge Steeh and lawyers for the Justice Department alluded to the potential for Takata to collapse if it could not find a buyer. [nL4N1FG1JD]"
General Motors,2017-2,"As part of the agreement with U.S. authorities, Takata has agreed to pay a $25 million fine and has 30 days to pay the $125 million for victim compensation."
General Motors,2017-2,"Takata has up to a year to deliver the remaining $850 million for automaker compensation. If a financial backer takes control of Takata, however, the money for the automakers must be delivered within five days. Reuters had reported in November that Takata may file for bankruptcy as part of a restructuring. [nL4N1D45WT]"
General Motors,2017-2,{{20170227T175919.547+0000}}Tesla deepens recent losses after Goldman recommends sellingBy Noel Randewich
General Motors,2017-2,"SAN FRANCISCO, Feb 27 (Reuters) - Shares of Tesla dropped on Monday after a downgrade by Goldman Sachs, bringing the electric carmaker's decline to 11 percent since its quarterly report last week stoked worries about how much cash it is using to launch its Model 3 sedan."
General Motors,2017-2,"Concerns that Tesla's Model 3 production this year might be delayed, as well as expectations the company will sell stock to raise $1.7 billion, led Goldman Sachs analyst David Tamberrino to downgrade Tesla to ""sell"" from ""neutral""."
General Motors,2017-2,"That helped push the stock down 4.83 percent to $244.52 in morning trade on Monday. If it closes at that level, it will have been the worst three-day performance for the shares since June last year."
General Motors,2017-2,"Even with the recent drop, Tesla has surged more than 30 percent since early December and is up 14 percent in 2017."
General Motors,2017-2,"Tesla has traded between $180 and $280 in recent years, and after hitting 2015 highs earlier this month, it may be headed toward the bottom of that range, Tamberrino wrote in a note to clients."
General Motors,2017-2,"Tesla investors and short sellers disagree about whether the company will become a carbon-free energy and transportation heavyweight or be overtaken first by older, deep-pocketed manufacturers such as General Motors Co ."
General Motors,2017-2,"Seven analysts recommend selling Tesla's shares, while six recommend buying and seven have neutral ratings. Few stocks on Wall Street attract more ""sell"" than ""buy"" ratings."
General Motors,2017-2,"Last May, Goldman Sachs's previous Tesla analyst, Patrick Archambault, raised his rating on Tesla to ""buy"" from ""neutral"" hours before the bank helped launch a secondary stock offer for the company."
General Motors,2017-2,The timing of the two events attracted attention on Wall Street because banks are required to keep their underwriting activities separate from their broker research.
General Motors,2017-2,"{{20170227T065555.384+0000}}Poland - Factors to Watch Feb 27Following are news stories, press reports and events to watch that may affect Poland's financial markets on Monday. ALL TIMES GMT (Poland: GMT + 1 hour):"
General Motors,2017-2,"Raiffeisen Bank Polska, the Polish unit of Austrian lender Raiffeisen Bank International (RBI), has written down the value of its local brand Polbank, which will weigh on the bank's 2016 financial results, it said late on Friday. [nL8N1GA05B]"
General Motors,2017-2,"The number of people employed on regular job contracts in Poland reached nearly 13 million people in the fourth quarter of last year and was the highest in at least 17 years, Dziennik Gazeta Prawna reported."
General Motors,2017-2,"The government's actions to curb tax evasion have increased fuel tax revenue and led to higher official fuel sales, driving the share prices of state-run refiners PKN Orlen and Lotos to multi-year highs, Dziennik Gazeta Prawna reported."
General Motors,2017-2,"Polish mBank is unlikely to engage in large foreign acquisitions as long as there is regulatory uncertainty regarding its portfolio of Swiss franc mortgages, the bank's Chief Executive Cezary Stypulkowski told Dziennik Gazeta Prawna."
General Motors,2017-2,Polish daily Gazeta Wyborcza points out that it is still largely unknown what will happen to the Polish car assembly plants belonging to General Motors after French Peugeot-Citroen takes over the firm.
General Motors,2017-2,"Polish banks will pay a 14 percent - 16 percent higher tax on bank assets this year on the back of an increase in assets and the method of calculating the tax which calls for an additional payment this year, the business daily Parkiet reported."
General Motors,2017-2,****Reuters has not verified stories reported by Polish media and does not vouch for their accuracy.****
General Motors,2017-2,"For other related news, double click on: Polish equities [PL-E] E.Europe equities [.CEE] Polish money [PL-M] Polish debt [PL-D] Eastern Europe [EEU] All emerging markets [EMRG] Hot stocks [HOT] Stock markets [STX] Market debt news [DBT] Forex news [FRX] For real-time index quotes, double click on: Warsaw WIG20 <.WIG20> Budapest BUX <.BUX> Prague PX <.PX>"
General Motors,2017-2,{{20170226T212826.286+0000}}Trump administration re-evaluating self-driving car guidanceBy David Shepardson
General Motors,2017-2,"WASHINGTON, Feb 26 (Reuters) - U.S. Transportation Secretary Elaine Chao said on Sunday she was reviewing self-driving vehicle guidance issued by the Obama administration and urged companies to explain the benefits of automated vehicles to a skeptical public."
General Motors,2017-2,"The guidelines, which were issued in September, call on automakers to voluntarily submit details of self-driving vehicle systems to regulators in a 15-point ""safety assessment"" and urge states to defer to the federal government on most vehicle regulations."
General Motors,2017-2,"Automakers have raised numerous concerns about the guidance, including that it requires them to turn over significant data, could delay testing by months and lead to states making the voluntary guidelines mandatory."
General Motors,2017-2,"In November, major automakers urged the then-incoming Trump administration to re-evaluate the guidelines and some have called for significant changes. Automakers called on Congress earlier this month to make legislative changes to speed self-driving cars to U.S. roads."
General Motors,2017-2,"Chao, in her first major public remarks since taking office last month, told the National Governors Association: ""This administration is evaluating this guidance and will consult with you and other stakeholders as we update it and amend it, to ensure that it strikes the right balance."""
General Motors,2017-2,"In 2015, 35,092 people died in U.S. traffic crashes, up 7 percent and the highest full-year increase since 1966. In the first nine months of 2016, fatalities were up 8 percent."
General Motors,2017-2,"Chao, noting research that 94 percent of traffic crashes were due to human error, said: ""There's a lot at stake in getting this technology right."""
General Motors,2017-2,"She said the Trump administration wanted to ensure it ""is a catalyst for safe, efficient technologies, not an impediment. In particular, I want to challenge Silicon Valley, Detroit, and all other auto industry hubs to step up and help educate a skeptical public about the benefits of automated technology."""
General Motors,2017-2,"Companies including Alphabet Inc's self-driving car Waymo unit , General Motors Co , Ford Motor Co , Uber Technologies Inc [UBER.UL], Tesla Inc and other are aggressively pursuing automated vehicle technologies."
General Motors,2017-2,"Chao said she was ""very concerned"" about the potential impact of automated vehicles on employment. There are 3.5 million U.S. truck drivers alone and millions of others employed in driving-related occupations."
General Motors,2017-2,"She also said she would seek input from states as regulators develops rules on drones. ""We will ask for your input as the (Federal Aviation Administration) develops standards and regulations to ensure that drones can be safely integrated into our country's airspace,"" she said."
General Motors,2017-2,"{{20170224T144643.955+0000}}UPDATE 2-On visit to London, Peugeot boss offers reassuring words on Vauxhall plants* PSA head Tavares meets UK business minister, union boss"
General Motors,2017-2,"LONDON, Feb 24 (Reuters) - The head of French carmaker PSA played down the threat to British factories when he discussed the potential takeover of GM's European operations with union officials and politicians in London on Friday."
General Motors,2017-2,"The British visit was the latest part of a charm offensive by Carlos Tavares, chief executive of Peugeot-maker PSA, after news broke last week that PSA was in talks about a possible purchase of the Opel business."
General Motors,2017-2,"Germany accounts for about half of Opel's 38,000 staff, while 4,500 are in Britain where Opel operates as Vauxhall and there are concerns in both countries about the impact of any deal on jobs."
General Motors,2017-2,Britain's business minister Greg Clark said talks with Tavares focused on the firm's desire to boost output.
General Motors,2017-2,"""We discussed how PSA's approach is to increase market share and expand production rather than close plants. I was assured that the commitments to the plants would be honoured,"" Clark said in a statement."
General Motors,2017-2,"""There was also recognition that members of the Vauxhall pension fund will be no worse off."""
General Motors,2017-2,"Tavares said this week that the combined company would aim to sell more than 5 million vehicles annually within ""a few years"". PSA and GM Europe delivered 4.3 million vehicles between them last year. [nL8N1G85US]"
General Motors,2017-2,Tavares also delivered a similar message to the Unite union's General Secretary Len McCluskey on Friday.
General Motors,2017-2,"""He talked in terms of not being here to shut plants. That's not his nature,"" McCluskey, the head of the country's biggest union, told reporters, adding the talks were ""relatively positive""."
General Motors,2017-2,"But McCluskey said there remained a lot of issues to discuss, including that of pensions."
General Motors,2017-2,The Vauxhall pension scheme has a deficit of up to 1 billion pounds ($1.25 billion) according to a source. [nL9N1FN008]
General Motors,2017-2,"In a statement PSA said Tavares used the meeting to reaffirm ""his commitment to conduct this dialogue in accordance with existing agreements and the ethical approach of the PSA Group."""
General Motors,2017-2,PSA said this week it would respect existing labour agreements if a deal took place. [nL8N1G62EC]
General Motors,2017-2,"Underlining concerns about jobs, Opel's European works council said it had agreed to open a line of communication with its counterpart at PSA Group. [nF9N1FN024]"
General Motors,2017-2,"{{20170224T133411.300+0000}}UK minister says assured by Peugeot CEO of commitments to UK plantsLONDON, Feb 24 (Reuters) - Britain's business minister Greg Clark said he discussed with the chief executive of Peugeot the firm's approach to expand production, rather than close plants, as the French carmaker explores taking over GM's Vauxhall and Opel brands in Europe."
General Motors,2017-2,Clark met PSA's Carlos Tavares in London on Friday as concerns mounted about the future of jobs and production at Britain's two Vauxhall plants.
General Motors,2017-2,"""We discussed how PSA's approach is to increase market share and expand production rather than close plants. I was assured that the commitments to the plants would be honoured,"" Clark said in a statement."
General Motors,2017-2,"""There was also recognition that members of the Vauxhall pension fund will be no worse off."""
General Motors,2017-2,"{{20170224T130912.936+0000}}GM demands non-compete clauses in return for Opel patents - SpiegelFRANKFURT, Feb 24 (Reuters) - General Motors has told PSA Group it would only sell licences for the manufacture of Opel cars to the French company if it agreed not to sell them in North America, Russia or China, German magazine Der Spiegel reported."
General Motors,2017-2,"Without saying where it got the information, the magazine said under such an agreement Opel would only be allowed to sell new models in those three markets following a possible tie-up with PSA, but not existing ones such as electric car Ampera-e."
