firm_id,date,text
Sinopec Group,2017-5,"{{20170608T091542.465+0000}}Sinopec says did not receive order to relocate Yanshan oil refinery BEIJING, June 8 (Reuters) - China's Sinopec <600028.SS> has not received a government order to relocate the Yanshan oil refinery, contradicting an earlier news report that the plant would be moved to develop the Xiongan New Area, the company said on Thursday."
Sinopec Group,2017-5,"Sinopec's statement followed an earlier report from business media Caixin saying Sinopec would move the Yanshan oil refinery to the district of Caofiedian. Yanshan is one of Sinopec's largest plants in northern China, capable of refining 10 million tonnes per year of crude, or about 200,000 barrels per day. [nL3N1J51A1]"
Sinopec Group,2017-5,"Caixin said the relocation will help save water resources for Xiongan, citing Xu Kuangdi, chief adviser for the planning for the Xiongan economic zone."
Sinopec Group,2017-5,"Yanshan's fresh water consumption has dropped by 60 percent in the past ten years, Sinopec said in the statement. In 2016, Yanshan used 0.46 tonnes of water to refine 1 tonne of crude oil."
Sinopec Group,2017-5,{{20170608T053526.339+0000}}UPDATE 1-China's crude imports hit second highest on record in May* May crude imports rises to second highest on record
Sinopec Group,2017-5,* China ahead of United States biggest crude buyer in May
Sinopec Group,2017-5,"BEIJING, June 8 (Reuters) - China's crude oil imports rebounded to the second highest on record in May, making China the world's top buyer for the month amid concerns over tightening crude supply to Asia and an extension of producer cuts to March next year."
Sinopec Group,2017-5,"China imported 37.2 million tonnes or 8.76 million barrels per day of crude oil last month, up 15 percent from a year earlier and nearly 8 percent from April, data from the General Administration of Customs showed."
Sinopec Group,2017-5,"Imports compared with average shipments to the United States in May of 8.12 million bpd, according to Reuters calculations based on EIA weekly data ."
Sinopec Group,2017-5,"The robust May shipments reflected steady demand from private refiners, Li Yan, a crude oil analyst with Zibo Longzhong Information Group said."
Sinopec Group,2017-5,"""China's May crude imports were mainly driven by purchases from some Shandong-based independent refineries that had sent China's crude imports to record high in March. In the first five months, we are seeing a steady pace of buying from these 'teapot' refineries which reported good profit margins,"" Li said."
Sinopec Group,2017-5,"For the year to end-May, crude imports rose more than 13 percent from a year earlier to 176.3 million tonnes or 8.52 million bpd, the customs data showed."
Sinopec Group,2017-5,"However, private refiners are expected to tighten their intake for at least the next two months, analysts and traders said, ambushed by a rising local fuel glut. [nL4N1IQ314]"
Sinopec Group,2017-5,Imports by the world's second-biggest oil consumer had slipped from a peak of 9.2 million bpd in March to 8.4 million bpd in April.
Sinopec Group,2017-5,China's exports of refined products rose 6 percent in May to 4.03 million tonnes as state refiners sold more abraod in a bid to counter a domestic oversupply. [nL4N1IQ314]
Sinopec Group,2017-5,"{{20170608T033054.841+0000}}China May crude oil imports up 8.2 pct from AprilBEIJING, June 8 (Reuters) - China imported 37.20 million tonnes of crude oil in May, up 8.2 percent from 34.39 million tonnes in the previous month, according to data from China's General Administration of Customs."
Sinopec Group,2017-5,Imports of oil products rose 1.2 percent to 2.52 million tonnes while exports of oil products rose 15.1 percent to 4.03 million tonnes.
Sinopec Group,2017-5,"-- Sinopec's Yanshan refinery will move out of Beijing to Caofeidian in neighboring Hebei province, partly to spare water resources for Xiongan, China's new economic zone envisaged by President Xi Jinping, Caixin reported late on Wednesday citing Xu Kuangdi, chief adviser for the planning of the Xiongan economic zone."
Sinopec Group,2017-5,"-- Production cost of the Yanshan refinery will drop 15 percent after the move, as the refinery can use crude oil imported from abroad, Xu said. Caofeidian is a major port on the east coast."
Sinopec Group,2017-5,-- The report did not give further details on how the move will actually take place.
Sinopec Group,2017-5,"-- The refinery produces 10 million tonnes of crude oil every year and over 800,000 tonne of ethylene per year."
Sinopec Group,2017-5,-- Note: Reuters has not verified this story and does not vouch for its accuracy.
