firm_id,date,text
walmart,2017-2,"{{20170228T110002.686+0000}}With businesses split on U.S. border tax, wider reform looks shaky* Trump position on 'border adjustment' unclear"
walmart,2017-2,"WASHINGTON, Feb 28 (Reuters) - Major U.S. corporations are going to war in Washington over a Republican 'border adjustment' tax proposal meant to boost exports over imports, with lawmakers in Congress coming under pressure from some of the nation's biggest employers."
walmart,2017-2,"The political split that is opening, most pronounced in the narrowly divided Senate, could doom the proposal. If it dies, prospects for a thorough tax code reform, a top 2017 goal for President Donald Trump's Republicans, would be diminished."
walmart,2017-2,"Trump, who has vowed to produce a ""phenomenal"" tax reform package, without recently offering many specifics, has not taken a clear stand on border adjustment. He spoke favorably about it in a Reuters interview on Thursday. [nL1N1G82IO]"
walmart,2017-2,"The main thrust of border adjustment is to exempt companies from having to pay federal income tax on export revenues, while ending the deductibility of import costs from taxable income."
walmart,2017-2,"Border adjustment is a core part of a broad tax reform ""blueprint"" being pushed by House of Representatives Republicans, including House Speaker Paul Ryan and tax panel chairman Kevin Brady. The blueprint has not been put into formal legislation, but border adjustment is already a sticking point."
walmart,2017-2,At least eight Republicans in the Senate have expressed concern about it. Several are from Republican-leaning states where Wal-Mart Stores Inc is a major employer.
walmart,2017-2,"Wal-Mart is a member of Americans for Affordable Products, a business coalition working against border adjustment. Other members include Best Buy , Costco , Gap Inc , Macy's Inc , Nike Inc and Target ."
walmart,2017-2,"If the Republican-dominated House approves the blueprint and moves it to the 100-seat Senate, Republicans could lose only a handful of votes and still be able to pass the blueprint."
walmart,2017-2,"""If it came up today, I couldn't support it,"" Arkansas Republican Senator John Boozman told Reuters. ""That's not to say I couldn't (support it) in the future with modifications."""
walmart,2017-2,"Boozman said he was concerned that border adjustment would raise prices for consumer goods such as cars and gasoline. He said he worried that Arkansas farmers could be hurt, too, if border adjustment triggered a global trade war."
walmart,2017-2,"Boozman's state is home to Wal-Mart, the world's largest retailer. Wal-Mart and its employees have been among Boozman's biggest backers in 2011-2016, according to data compiled by the Center for Responsive Politics, a campaign finance watchdog."
walmart,2017-2,"Wal-Mart Chief Financial Officer Brett Biggs, on a conference call with reporters a week ago, said, ""The things that are being discussed about the border adjustment tax pose a concern."""
walmart,2017-2,"Republican Senator Tom Cotton, Boozman's Arkansas colleague, has also expressed concerns on border adjustment. ""He supports the goals of tax reform and job growth. But he believes that a new tax on working-class Americans is not the best way to achieve those goals,"" said Cotton spokeswoman Caroline Rabbitt."
walmart,2017-2,"Perhaps border adjustment's most outspoken Senate critic is Georgia Republican David Perdue. He has called the House proposal ""a bad idea"" and urged colleagues not to support it."
walmart,2017-2,"One of Perdue's top backers in 2013-2016, according to data from the center on its website, has been the Club for Growth, a conservative group that donates large sums to like-minded politicians. Club for Growth opposes border adjustment."
walmart,2017-2,"Border adjustment has attracted opposition not only from retailers, but also from oil refiners and automakers."
walmart,2017-2,"Texas Republican John Cornyn, a senior senator whose constituents include oil and gas firms, as well as companies that do business with Mexico, told Reuters: ""If you're talking about disrupting business models that people have come to depend on, there's a lot in play and a lot at stake."""
walmart,2017-2,"Border adjustment has support from U.S. multinational exporters organized in another group, the American Made Coalition. Its members include Boeing Co , Caterpillar Inc , Dow Chemical Co. , General Electric Co , Honeywell International Inc , Pfizer Inc and United Technologies Corp ."
walmart,2017-2,"Chief executives of 16 big companies sent a letter this month to lawmakers urging tax reform including border adjustment. In it, the CEOs said border adjustment would make U.S.-manufactured products more competitive abroad and at home."
walmart,2017-2,"Since Trump's Reuters interview last week, the White House has sent mixed signals on border adjustment. Trump is scheduled to make a major speech to Congress on Tuesday."
walmart,2017-2,"""We would be surprised if Trump specifically mentions (border adjustment) on Tuesday night,"" said Chris Krueger, analyst at financial firm Cowen & Co. in a research report."
walmart,2017-2,"The proposal ""is a 15-round heavyweight fight and we are only in the 3rd round ... It can all end with a single uppercut from Trump in opposition, though that does not seem to be the direction the White House is headed,"" Krueger said."
walmart,2017-2,{{20170227T231529.963+0000}}BREAKINGVIEWS-German wanderlust intensifies U.S. grocery wars(The author is a Reuters Breakingviews columnist. The opinions expressed are his own. Refiles Feb 24 item to delete extraneous reference to Trader Joe's in Context News.)
walmart,2017-2,"NEW YORK, Feb 27 (Reuters Breakingviews) - Germany's discount supermarkets are experiencing a bout of wanderlust. Lidl is opening its first American stores this summer, following the lead of established rival Aldi, which just unveiled a $1.6 billion investment to improve many of its more than 1,600 U.S. stores. Traditional food retailers and even the likes of the $220 billion Wal-Mart are already in a price war. Teutonic competition will only intensify it."
walmart,2017-2,"Even amidst food-price deflation, the Germans have cost-efficient, no-frills models that give them an edge. Aldi's U.S. stores are small, remain open for limited hours, and require shoppers to shell out for bags and deposits on shopping carts. Lidl may try something a bit different but the basic pitch will still be low prices. Analysts at Bernstein suggest Aldi's private-label products, which make up 90 percent of its wares, sell at about a 15 percent discount to Wal-Mart's."
