firm_id,date,text
Ford Motor,2017-7,"Ford CEO Hackett reviewing future products, plants, countries -sources - Reuters News"
Ford Motor,2017-7,"{{20170731T100001.261+0000}}Ford CEO Hackett reviewing future products, plants, countries -sourcesBy Paul Lienert and Joseph White"
Ford Motor,2017-7,"July 31 (Reuters) - Ford Motor Co Chief Executive Jim Hackett is reviewing the automaker's operations in India and other markets, as well as Ford's future product programs including plans to build a self-driving commercial vehicle in 2021, according to company officials and other sources familiar with that review."
Ford Motor,2017-7,"Hackett, who took over as CEO in May, has told investors he is working on a 100-day review of Ford's operations but has so far provided few details of the process, except to indicate that it is looking at the automakers' luxury vehicle strategy, the future of its small vehicles and investments in emerging markets."
Ford Motor,2017-7,"Ford Chief Financial Officer Bob Shanks told Reuters in an interview that the review covers a range of issues, including Ford's strategy for India."
Ford Motor,2017-7,"""We have a lot of work to do (as) we address issues of how to fix India,"" Shanks said. ""Everything is on the table."""
Ford Motor,2017-7,"General Motors Co in May said it would stop selling cars in India but continue to produce vehicles there for export. [nL4N1IK1ZS] Shanks said no decisions have been made and noted that Ford has a larger business in India than GM did. ""We are very cognizant that will be the third-largest market in the world,"" he said."
Ford Motor,2017-7,"""Some big decisions will be made,"" Shanks said, but he cautioned Ford may not disclose all those decisions at the end of the 100-day review."
Ford Motor,2017-7,Hackett is addressing challenges that have contributed to a nearly 8 percent decline in Ford's share price this year.
Ford Motor,2017-7,"The review of the Lincoln luxury brand includes whether current plans will meet former CEO Mark Fields' ambitious targets for growth and revenue, people familiar with the process said."
Ford Motor,2017-7,"Ford has set a target of putting a self-driving shuttle into commercial ride-sharing fleets by 2021. Hackett is reviewing the investment and timing for that project, the sources said."
Ford Motor,2017-7,"Hackett also assessing whether to reduce and consolidate production of models such as the Fiesta subcompact and two midsized sedans that are built in multiple locations around the world, but are experiencing slowing demand."
Ford Motor,2017-7,"One proposal would shift production of the next-generation Mondeo mid-sized sedan from Europe to Mexico, where it would share an assembly line with its sibling, the Ford Fusion, avoiding the cost of retooling two plants."
