firm_id,date,text
General Motors,2017-5,{{20170528T230003.916+0000}}RPT-ANALYSIS-Beijing bling: Hyundai plots China branding reboot after missile row(Repeats article first published on Sunday. No changes to text.)
General Motors,2017-5,"SEOUL/BEIJING, May 28 (Reuters) - Bruised by anti-Korean sentiment in its biggest market and losing ground to local automakers, Hyundai Motor <005380.KS> will open its first Chinese brand store, and may locally assemble its premium Genesis cars and accelerate the launch of a sport-utility vehicle (SUV), people familiar with the plans said."
General Motors,2017-5,"The measures are aimed at rebooting the South Korean firm's branding in China, where many see Hyundai as a lower-end maker of city taxis."
General Motors,2017-5,"Hyundai and its affiliate Kia Motors <000270.KS> were not long ago ranked third among foreign car brands in China, but recent sales have been hit by a consumer backlash over South Korea's deployment of a U.S. anti-missile defence system which Beijing opposes. [nL4N1I62L0]"
General Motors,2017-5,Analysts say the diplomatic row masks broader problems for Hyundai/Kia in China: poor brand recognition and a model line-up struggling against local brands' cheaper SUVs.
General Motors,2017-5,"""Hyundai has an in-between brand that doesn't have a clear identity in China, and there's the backdrop of poor China-Korea relations,"" said James Chao, Shanghai-based Asia-Pacific chief of consulting firm IHS Markit Automotive."
General Motors,2017-5,"""Newly introduced SUVs should help, but they are late to the game."""
General Motors,2017-5,"Even before the missile systems row, Hyundai/Kia's China market share tumbled to 8.1 percent last year, the lowest in eight years. This year, it has slid further to 5 percent."
General Motors,2017-5,"To help its identity crisis, Hyundai will in September open a brand experience centre in Beijing's 798 Art District, a trendy hub of refurbished factory buildings. Hyundai has three similar centres in Seoul and one in Moscow."
General Motors,2017-5,"""We're not going to show a real car. This space is only for focusing on brand building,"" Xu Jing, the Hyundai executive in charge of the project, told Reuters."
General Motors,2017-5,"The centre was planned before the recent political tensions, but its completion is now a key plank in Hyundai's efforts to regain a lost position in China as local automakers and European brands gain ground. Volvo-owner Geely <0175.HK> and Great Wall Motor <601633.SS> are also looking to move upmarket."
General Motors,2017-5,"The branding store ventures into territory traditionally held by premium names such as Daimler's ""Mercedes me"" stores and BMW's brand centres, already in China."
General Motors,2017-5,Hyundai is also considering using complete knock-down (CKD) kits shipped from South Korea to assemble Genesis cars in China - more than halving import tariffs to 10 percent - two people familiar with the matter said.
General Motors,2017-5,"Building Genesis cars from kits in China would also prevent technology leaking to its local joint venture partner, BAIC <1958.HK>, one of the people added."
General Motors,2017-5,"The kits are a first step, said one Hyundai insider. ""We are agonizing over how to source local parts and secure enough sales to build the Genesis cars."""
General Motors,2017-5,"Hyundai launched its Genesis luxury sedan in 2008, and two years ago spun it off with the larger Equus sedan into a standalone premium brand. Brand chief Manfred Fitzgerald said last year Genesis would launch in China within 2-3 years. [nL3N1BP3R9]"
General Motors,2017-5,"Hyundai has not decided which Genesis model it will build in China first, but plans to have six models including a sports sedan and two SUVs under the premium marque by 2020."
General Motors,2017-5,"""While the Genesis brand is reviewing a variety of strategies for the China market, no specific decisions have been made yet,"" Hyundai said in a statement."
General Motors,2017-5,"Hyundai sold 74 Genesis sedans in China last year, down from 1,016 in 2015. It sold a single Equus, down from 10 the previous year, according to export data seen by Reuters."
General Motors,2017-5,"Hyundai may also bring forward by a month, to November, the launch of a small SUV, codenamed NU, to be built at its fourth factory in China, one of the people told Reuters."
General Motors,2017-5,"And Kia is considering launching the Stinger, its first sports sedan, in China, people with direct knowledge of the matter said, though there are no plans to build the model there."
General Motors,2017-5,"Hyundai said it also plans to apply new, cutting-edge technologies such as connectivity and advanced driver assistance systems (ADAS) to many products from the second half of this year, and soon introduce six new-energy vehicles."
General Motors,2017-5,"Since starting to make cars in China in 2002, Hyundai has aggressively chased sales and market share by selling both older and new versions of models including the Elantra and Sonata sedans and Tucson SUV."
General Motors,2017-5,"Among foreign car brands, Hyundai's China sales lag only those of General Motors and Volkswagen , but it's generally seen as more lower-end than American, German and Japanese rivals. Beijing Hyundai has supplied around a fifth of the capital's taxis."
General Motors,2017-5,"The volume sales model ""did wonders for sales growth, but dented the Hyundai image in the minds of Chinese buyers,"" said Michael Dunne, president of consultancy Dunne Automotive."
General Motors,2017-5,"""(Having a) weaker brand ... than Japanese automakers, I think it might take more time to restore the brand and sales,"" said Han Sang-yun, director at S&P, noting Japanese car makers took a year to bounce back in China after a 2012 consumer backlash over a territorial dispute between Beijing and Tokyo."
General Motors,2017-5,{{20170528T020005.125+0000}}ANALYSIS-Beijing bling: Hyundai plots China branding reboot after missile row* Hyundai/Kia China sales down amid missile system dispute
General Motors,2017-5,"SEOUL/BEIJING, May 28 (Reuters) - Bruised by anti-Korean sentiment in its biggest market and losing ground to local automakers, Hyundai Motor <005380.KS> will open its first Chinese brand store, and may locally assemble its premium Genesis cars and accelerate the launch of a sport-utility vehicle (SUV), people familiar with the plans said."
