firm_id,date,text
walmart,2017-6,"{{20170630T045548.382+0000}}CORRECTED-Chinese ready to tuck into U.S. beef imports after 14-year wait(Correcting to show the store was Sams Club, owned by Walmart, not a Walmart supermarket in 2nd, 7th and 13th paras)"
walmart,2017-6,"BEIJING, June 29 (Reuters) - China's top online retailers and U.S. superstore giant Walmart are scrambling to satisfy the voracious appetites of consumers excited about the first American beef to arrive in the world's most populous nation in 14 years."
walmart,2017-6,"""I am a frequent buyer of steak so I can tell the quality by its colour and marbling,"" said one woman on Thursday at a Sams Club store in Beijing owned by Walmart. She selected a 211 yuan ($31.13) pack of newly arrived U.S. steak over her usual choice from Australia."
walmart,2017-6,"""This looks tasty, worth a try,"" she said, declining to be named. Other shoppers at the store said imported beef was superior in quality and worth its hefty price."
walmart,2017-6,"Beef is the fastest-growing meat sector in China, outstripping stagnant demand for more widely eaten pork, with consumers seeking healthier sources of protein and adopting Western eating habits. [nL3N1JH3EL]"
walmart,2017-6,"China's beef imports hit $2.6 billion last year, making it the world's fastest-growing overseas market for the meat. Consumer excitement about the lifting of a 2003 ban due to a scare over mad cow disease looks set to help U.S. beef grab a significant share of that demand."
walmart,2017-6,"U.S. Secretary of Agriculture Sonny Perdue is in Beijing to mark the return of U.S. beef to China, and is expected on Friday to meet his Chinese counterpart, Agriculture Minister Han Changfu, as well as Vice Premier Wang Yang."
walmart,2017-6,Some of the millions who buy food online are expected to join the woman in the Sams Club store as some of the first to buy U.S. beef in China in more than a decade. Social media has been buzzing for weeks with those ready to tuck into American steak.
walmart,2017-6,"""American steak is delicious,"" said one user on China's Twitter-like Weibo service. ""It doesn't have the mutton smell of domestic beef."""
walmart,2017-6,"Womai.com, owned by food giant COFCO [CNCOF.UL], said it had received more than 1,605 orders for beef from U.S. meat giant Tyson by late Wednesday. JD.com , one of the country's biggest online retailers, has started pre-sales of U.S. beef ahead of the product's availability from mid-July."
walmart,2017-6,"Online meat is typically around 10 percent cheaper than it is in stores, according to Euromonitor."
walmart,2017-6,"Imported meat accounted for more than 30 percent of JD.com's meat sales last year, with Australian beef the top category and the most searched-for item, the company said."
walmart,2017-6,"Still, food safety fears linger, despite Beijing's stringent import requirements."
walmart,2017-6,"One Sams Club shopper, surnamed Huang, was worried about more than beautiful marbling: ""We should not only stick to foreign beef. They have food safety issues, like growth hormones and GMOs (genetically modified organisms) in the U.S."""
walmart,2017-6,Wal-Mart Stores announces pricing for cash tender offers - Reuters Investor Briefs
walmart,2017-6,{{20170629T192713.050+0000}}BRIEF-Wal-Mart Stores announces pricing for cash tender offersJune 29 (Reuters) - Wal-Mart Stores Inc :
walmart,2017-6,* Wal-Mart Stores Inc announces pricing for cash tender offers
walmart,2017-6,"* Pricing and accepted tender amounts for previously announced offer to purchase 4.875 pct notes due 2039, 5.250 pct notes due 2035, 5.750 pct notes due 2030"
walmart,2017-6,{{20170629T135907.006+0000}}UPDATE 2-Brazil IPO plan fails to inspire French Carrefour shares* Carrefour shares initially rise but then fall back
walmart,2017-6,"PARIS, June 29 (Reuters) - Shares in French retailer Carrefour slipped on Thursday as analysts said its planned $1.7 billion initial public offering (IPO) of its Brazilian business broadly met their valuations."
walmart,2017-6,"Carrefour, the world's second-largest retailer behind Wal-Mart , plans to list the Atacadao business on July 20 on the Sao Paulo exchange with a 15-20 percent free float and an indicative price tag of 15 to 19 reais per share. [nL1N1JP1Z8]."
walmart,2017-6,"This would give the Brazilian arm an equity value of 7.9 billion to 10 billion euros, compared to market estimates of around 9 billion euros ($10.3 billion), analysts said."
walmart,2017-6,"Carrefour had already flagged that it was targeting the Brazilian IPO this year to accelerate its expansion in the South American country, its second-largest market after France."
walmart,2017-6,"Carrefour shares initially rose but then lost ground to stand 1.4 percent lower at 22.12 euros by mid-afternoon, with analysts signalling that the valuation of the Brazilian business had only met earlier market forecasts, rather than beating them."
walmart,2017-6,"""We are valuing Carrefour Brazil at 9 billion euros or 8 times EV/EBITDA (enterprise value to earnings before interest, tax, depreciation and amortisation), so do not see the valuation range as surprising,"" said Deutsche Bank analysts in a note, keeping a ""hold"" rating on Carrefour shares."
walmart,2017-6,"Analysts at Bernstein, who kept a ""market perform"" rating on Carrefour, also said that much of the impact from the Brazilian IPO had already been factored into Carrefour's stock price."
walmart,2017-6,"Bernstein analysts said in an updated note that pricing at the top of the indicative range would add 2.5 euros to its 'Sum Of The Parts' (SOTP) price for Carrefour, while an IPO at the bottom part of that range would add 0.2 euros to that price."
