firm_id,date,brand,reputation,crypto,patent,leadership
Brunswick,2017-1,0.724735,0.297686,-0.042026,-0.724656,-0.353267
Brunswick,2017-2,0.912985,0.341781,-0.100465,-0.882153,-0.659232
Brunswick,2017-3,0.758494,0.2339,-0.053791,-0.792161,-0.429353
Brunswick,2017-4,0.832672,0.341793,0.04828,-0.86706,-0.571603
Brunswick,2017-5,0.761136,0.27215,-0.296516,-0.775108,-0.494692
Brunswick,2017-6,0.82858,0.089845,-0.319284,-0.869255,-0.539907
Brunswick,2017-7,0.748923,0.064339,-0.197585,-0.74203,-0.445079
Brunswick,2017-8,0.93721,-0.140089,-0.432516,-0.863269,-0.553301
Brunswick,2017-9,0.913007,0.122546,-0.388095,-0.850861,-0.438671
Brunswick,2017-10,0.734358,0.252848,-0.209928,-0.729136,-0.474255
Brunswick,2017-11,0.864691,0.141149,-0.431143,-0.827517,-0.561818
Brunswick,2017-12,0.67598,0.007228,-0.014419,-0.702988,-0.327393
Chevron,2017-1,0.74966,-0.255687,-0.337004,-0.605067,-0.742247
Chevron,2017-2,0.686781,-0.614359,-0.333651,-0.642582,-0.501247
Chevron,2017-3,0.826262,-0.297179,-0.390911,-0.714493,-0.712796
Chevron,2017-4,0.874787,0.029786,-0.627671,-0.744993,-0.798938
Chevron,2017-5,0.874112,-0.131347,-0.542369,-0.843518,-0.794381
Chevron,2017-6,0.793187,-0.396965,-0.60042,-0.547513,-0.682921
Chevron,2017-7,0.850377,-0.570789,-0.759125,-0.67192,-0.689543
Chevron,2017-8,0.825491,-0.538887,-0.582721,-0.455727,-0.683809
Chevron,2017-9,0.786964,-0.314355,-0.624726,-0.679301,-0.708296
Chevron,2017-10,0.753643,0.681804,-0.693633,-0.703612,-0.777177
Chevron,2017-11,0.917266,-0.306032,-0.62842,-0.797443,-0.746316
Chevron,2017-12,0.925657,-0.739688,-0.345429,-0.647741,-0.746457
Civmec,2017-1,0.3807,0.825491,0.509738,-0.765474,-0.86659
Civmec,2017-2,0.814187,0.522644,-0.019596,-0.747674,-0.767351
Civmec,2017-3,0.714329,0.888238,0.586377,-0.845205,-0.886903
Civmec,2017-4,-0.120468,0.90756,0.659108,-0.795987,-0.891581
Civmec,2017-5,0.122877,0.678615,0.496864,-0.657941,-0.714633
Civmec,2017-6,0.368943,0.721103,0.505753,-0.696914,-0.746665
Civmec,2017-7,0.620592,0.815813,0.425093,-0.765382,-0.762731
Civmec,2017-8,0.389275,0.831711,0.649868,-0.828987,-0.85853
Civmec,2017-9,0.770706,0.748098,0.374161,-0.751868,-0.787471
Civmec,2017-10,0.870414,0.416403,-0.504925,-0.800452,-0.779722
Civmec,2017-11,0.560523,0.787307,0.41304,-0.713756,-0.742424
Civmec,2017-12,0.672187,0.75393,0.390702,-0.77459,-0.807083
ConocoPhillips,2017-1,0.752796,-0.770064,-0.41944,0.846683,-0.765402
ConocoPhillips,2017-2,0.782445,-0.705737,-0.578732,0.730108,-0.709327
ConocoPhillips,2017-3,0.838412,-0.816813,-0.752734,0.85399,-0.872791
ConocoPhillips,2017-4,0.736755,-0.752333,-0.675212,0.780599,-0.766343
ConocoPhillips,2017-5,0.935035,-0.839274,-0.730529,0.851152,-0.880468
ConocoPhillips,2017-6,0.717718,-0.672407,-0.610127,0.66902,-0.684939
ConocoPhillips,2017-7,0.753699,-0.712922,-0.733022,0.739398,-0.758537
ConocoPhillips,2017-8,0.794014,-0.719369,-0.664147,0.805291,-0.712104
ConocoPhillips,2017-9,0.662209,-0.671102,-0.580704,0.634545,-0.628712
ConocoPhillips,2017-10,0.860777,-0.751288,-0.771794,0.787643,-0.805572
ConocoPhillips,2017-11,0.80468,-0.797764,-0.776174,0.893036,-0.810514
ConocoPhillips,2017-12,0.729125,-0.68447,-0.683588,0.652267,-0.629453
Exxon,2017-1,0.652039,-0.206113,-0.324615,-0.59874,-0.673389
Exxon,2017-2,0.812514,-0.244212,-0.504202,-0.73939,-0.733544
Exxon,2017-3,0.864551,-0.450693,-0.393502,-0.783694,-0.79294
Exxon,2017-4,0.710877,-0.542031,-0.599113,-0.451072,-0.61609
Exxon,2017-5,0.854902,-0.654118,-0.652837,-0.703146,-0.574515
Exxon,2017-6,0.72032,-0.386186,-0.444933,-0.637859,-0.54604
Exxon,2017-7,0.813216,-0.646267,-0.738438,-0.534525,-0.59813
Exxon,2017-8,0.908592,-0.801145,-0.67492,-0.30679,-0.752223
Exxon,2017-9,0.721096,-0.745544,-0.560869,-0.292624,-0.528834
Exxon,2017-10,0.718434,-0.488948,-0.498588,-0.527108,-0.596581
Exxon,2017-11,0.850059,-0.667932,-0.617966,-0.613045,-0.633214
Exxon,2017-12,0.725017,-0.687133,-0.40319,-0.298684,-0.465728
Ford Motor,2017-1,0.809885,0.496141,-0.517583,-0.79183,-0.778154
Ford Motor,2017-2,0.77668,0.78811,-0.301218,-0.816705,-0.771721
Ford Motor,2017-3,0.791366,0.678983,-0.138664,-0.721826,-0.686414
Ford Motor,2017-4,0.76869,0.693551,-0.405294,-0.736663,-0.704423
Ford Motor,2017-5,0.922788,0.61315,0.569329,-0.875535,-0.88025
Ford Motor,2017-6,0.738898,0.641637,0.193358,-0.709109,-0.681643
Ford Motor,2017-7,0.834379,0.481139,-0.032874,-0.788515,-0.704389
Ford Motor,2017-8,0.872783,0.699209,-0.082295,-0.890271,-0.75916
Ford Motor,2017-9,0.735178,0.378155,-0.38001,-0.740968,-0.62637
Ford Motor,2017-10,0.851576,0.619988,-0.33405,-0.867657,-0.753627
Ford Motor,2017-11,0.807839,0.570757,-0.618223,-0.829025,-0.741088
Ford Motor,2017-12,0.821803,0.749079,-0.330152,-0.840071,-0.827564
General Electric,2017-1,0.704902,0.673967,0.025146,-0.693139,-0.711506
General Electric,2017-2,0.818203,0.476977,-0.617179,-0.533046,-0.769244
General Electric,2017-3,0.792948,0.709678,-0.357902,-0.796677,-0.827449
General Electric,2017-4,0.747502,0.664766,-0.204235,-0.745538,-0.770008
General Electric,2017-5,0.747475,-0.35978,-0.084666,-0.681926,-0.59293
General Electric,2017-6,0.706377,0.516461,-0.410174,-0.642824,-0.733854
