firm_id,date,brand,reputation,crypto,patent,leadership
tesla,2025/5,0.895983,0.323242,0.021786,-0.88321,-0.701972
tesla,2025/1,0.789141,0.192187,-0.071544,-0.73228,-0.59689
tesla,2024/10,0.855052,0.153641,-0.212551,-0.853282,-0.693204
tesla,2024/11,0.875391,0.232812,0.15033,-0.868594,-0.752939
tesla,2024/12,0.812705,0.010084,-0.077855,-0.799189,-0.598981
tesla,2025/2,0.805302,0.142028,-0.045056,-0.777807,-0.601521
tesla,2025/3,0.84445,0.24528,-0.085887,-0.854473,-0.688526
tesla,2025/4,0.797502,0.301988,0.050357,-0.844678,-0.684455
tesla,2025/6,0.946619,0.530165,-0.049129,-0.851646,-0.835903
tesla,2024/9,0.672095,0.264573,-0.180199,-0.733819,-0.54286
