firm_id,date,text
Tesla,2025-5(28),23:57:47  [GLOSTO] (TSLA.O) - Tesla among top gainers of Demars Financial Group holdings; soars 39% in 56 days; -76c [-0.2%] -
Tesla,2025-5(28),23:55:43  [NEWUSN] (TSLA.O MBLY.O) - Mobileye Global continues to underperform Tesla by 16.5% in the past month -
Tesla,2025-5(28),23:52:38  [NEWUSN] (TSLA.O) - A Comparison of Tesla's Layoffs with that of Corporate America -
Tesla,2025-5(28),23:52:09  [NEWUSN] (TSLA.O) - How Tesla's investment commitment under Trump 2.0 compares to the other 100+ companies -
Tesla,2025-5(28),"23:30:19  [ECOCOM] (TSLA.O) - Two Sharp with ET: From EV kings to crisis queens, Ola & Tesla tumble | NSE eyes mega IPO -"
Tesla,2025-5(28),"23:24:26  [DAILYQ] - Tableaux LLC Takes Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"23:24:26  [TRADAJ] - Keystone Financial Services LLC Makes New Investment in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"23:24:20  [DAILYQ] - 625 Shares in Tesla, Inc. (NASDAQ:TSLA) Bought by Aegis Wealth Management LLC -"
Tesla,2025-5(28),"23:24:13  [DAIPOL] - Tableaux LLC Takes Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"23:23:47  [TICREP] - Alpha Wealth Funds LLC Makes New $1.29 Million Investment in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"23:23:46  [TICREP] - 625 Shares in Tesla, Inc. (NASDAQ:TSLA) Acquired by Aegis Wealth Management LLC -"
Tesla,2025-5(28),"23:23:43  [DAILYQ] - Alpha Wealth Funds LLC Buys New Shares in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"23:23:34  [DAIPOL] - 625 Shares in Tesla, Inc. (NASDAQ:TSLA) Bought by Aegis Wealth Management LLC -"
Tesla,2025-5(28),23:23:23  [WEAPRO] (TSLA.O) - Musk's political moves trigger 49% Tesla sales drop in Europe -
Tesla,2025-5(28),"23:23:10  [YAHNEX] (NVDA.O TSLA.O) - Dow Jones Futures: Nvidia Earnings Key, While Okta, Box Move On Results; Tesla Adds To Breakout -"
Tesla,2025-5(28),23:10:14  [CRYPTV] (TSLA.O MSTR.O) - Strive Raises $750M for Alpha-Driven Bitcoin Treasury Fund -
Tesla,2025-5(28),"23:00:12  [FINGEV] (TSLA.O STLAM.MI) - As new CEO takes over, Wall Street is expecting more from Stellantis than GM, Ford or Tesla -"
Tesla,2025-5(28),"22:55:06  [RTRS] (YMcv1 TSLA.O) - Wall St on track for muted open after sharp rally, focus on Nvidia earnings (US STOCKS) -"
Tesla,2025-5(28),"22:54:37  [GLOBUL] (.GDAXI .IXIC) - Tesla top gainer in Demars Financial Group soars 38.6% in 56 days, hits 97-day high Wednesday May 28, 2025 07:05 EDT -"
Tesla,2025-5(28),"22:54:28  [GLOBUL] (.GDAXI .IXIC) - Tesla (TSLA: $362.89) - PRE-MARKET CONFIRMATORY BULLISH SIGNAL FROM ITS GERMAN LISTING Wednesday May 28, 2025 07:05 EDT -"
Tesla,2025-5(28),22:52:48  [NEWUSN] (TSLA.O TSLA.OQ) - Tesla Continues to Outperform its Peers -
Tesla,2025-5(28),"22:49:08  [WATNEW] - Prostatis Group LLC Has $6.72 Million Stock Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),22:31:47  [FINEXP] (TSLA.O) - Tesla Europe sales crash by over 50% in April -
Tesla,2025-5(28),"22:28:18  [MARBEA] - M1 Capital Management LLC Invests $863,000 in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"22:25:21  [YAHNEX] (TSLA.O) - I swapped my Tesla for a BYD after getting frustrated with Elon Musk. It was the right decision, but there are some things I miss. -"
Tesla,2025-5(28),"22:12:35  [TICREP] - Tesla, Inc. (NASDAQ:TSLA) Shares Sold by Prostatis Group LLC -"
Tesla,2025-5(28),"22:11:18  [FORONL] (TSLA.O) - Chinese EV buyers no longer consider Tesla a technology leader, warns UBS -"
Tesla,2025-5(28),22:03:16  [AUTCOP] (TSLA.O) - Tesla's Self Driving Robotaxis Will Have Human Supervisors At First -
Tesla,2025-5(28),"22:01:19  [MARBEA] (ETD.N) - 111 Capital Makes New $8.98 Million Investment in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"21:53:34  [ZOLCOM] - Lansforsakringar Fondforvaltning AB publ Buys New Stake in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),21:47:25  [GLOBUL] (.IXIC TSLA.O) - Top Performers Past Week: Tesla (TSLA: $362.89) in top 3% performers of NASDAQ-100 Index in past week -
Tesla,2025-5(28),"21:47:25  [GLOBUL] (.GDAXI TSLA.O) - THE NASDAQ PRE-MARKET BULLISH STOCK SNIPPETS TESLA (TSLA: $362.89) Wednesday May 28, 2025 07:05 EDT -"
Tesla,2025-5(28),"21:47:20  [MARBEA] - 2,797 Shares in Tesla, Inc. (NASDAQ:TSLA) Bought by Thoma Capital Management LLC -"
Tesla,2025-5(28),21:45:20  [WNCOMA] (TSLA.O) - Elon Musk says Trump tax bill weakens Doge cost-cutting efforts -
Tesla,2025-5(28),"21:38:21  [WATNEW] - Triton Wealth Management PLLC Sells 106 Shares of Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"21:38:16  [WATNEW] - 111 Capital Makes New $8.98 Million Investment in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"21:30:14  [MARBEA] - Tableaux LLC Buys New Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"21:21:20  [MARBEA] - Members Wealth LLC Purchases New Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"21:14:30  [RTRS] (YMcv1 TSLA.O) - US stock futures muted after sharp rally, focus on Nvidia earnings (US STOCKS) -"
Tesla,2025-5(28),21:12:25  [NOTENG] (TSLA.O) - Tesla's monthly sales in Europe drop by half; report 52.6% year-on-year in April -
Tesla,2025-5(28),"21:05:11  [YAHNEX] (OKTA.O NVDA.O) - These Stocks Are Moving the Most Today: Nvidia, Tesla, Okta, Box, Semtech, DJT, and More -"
Tesla,2025-5(28),"21:04:26  [DAIPOL] - Lansforsakringar Fondforvaltning AB publ Makes New Investment in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"21:02:46  [WNCOMA] (TSLA.O) - Tesla's Monthly Sales In Europe Plunge By Half, Signalling Backlash Against Musk Runs Deep -"
Tesla,2025-5(28),"20:57:04  [MARBEA] - Wealthedge Investment Advisors LLC Purchases Shares of 4,801 Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-5(28),"20:48:10  [ZACKSC] (NVDA.O) - The Zacks Analyst Blog Highlights NVIDIA, Amazon.com, Alphabet and Tesla -"
Tesla,2025-5(28),20:47:10  [YAHNEX] (NVDA.O TSLA.O) - Dow Jones Futures: Nvidia Earnings Due After TACO Tuesday Rally; Tesla Breaks Out -
Tesla,2025-5(28),"20:38:14  [GURCOM] - Tesla (TSLA) Plans Robotaxi Launch in Austin, City Awaits Safety Details | TSLA Stock News -"
Tesla,2025-5(28),"20:32:32  [TRADAJ] - 953 Shares in Tesla, Inc. (NASDAQ:TSLA) Bought by Anchor Pointe Wealth Management LLC -"
