firm_id,date,text
Tesla,2025-6,"02:45:17  [YAHNEX] (TSLA.O) - Tesla hires former Cruise executive as AI director, Electrek reports -"
Tesla,2025-6,"02:33:10  [LIVEMI] (TSLA.O 1810.HK) - Xiaomi YU7 SUV, company's second EV receives 240000 orders in 18 hours, challenges Tesla in China -"
Tesla,2025-6,02:28:15  [FUTCOM] (TSLA.O) - The First Week of Tesla's Robotaxis Has Been a Disaster -
Tesla,2025-6,02:23:15  [LATNIG] - Have more kids or population will collapse - Elon Musk warns -
Tesla,2025-6,02:19:15  [WRACOM] - Elon Musk isn't happy with his AI chatbot. Experts worry he's trying to make Grok 4 in his image -
Tesla,2025-6,02:16:19  [WNCOMA] (TSLA.O) - Tesla co-founder JB Straubel: We're using recycled EV batteries to power AI training data center -
Tesla,2025-6,02:13:15  [NOTENG] - Elon musk announces the elimination of hashtags in x ads starting this friday -
Tesla,2025-6,"02:07:33  [YAHNEX] (TSLA.O) - Musk Dismissed Longtime Aide Afshar From Tesla, Reports Say -"
Tesla,2025-6,01:59:43  [STOCKP] (TSLA.O) - Tesla is trading -0.54 percent lower with a volume of USD 26.1 bn on Friday 27th of June -
Tesla,2025-6,"01:59:19  [DAIPOL] (TSLA.O) - Value Partners Investments Inc. Reduces Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-6,"01:53:17  [CHAASI] (TSLA.O) - Tesla hires former Cruise executive as AI director, Electrek reports -"
Tesla,2025-6,01:52:21  [FORCOO] (TSLA.O) - Musk Fires Top Tesla Exec Amid Plunging Tesla Sales in Europe & China -
Tesla,2025-6,"01:52:18  [YAHSIN] (TSLA.O) - Tesla hires former Cruise executive as AI director, Electrek reports -"
Tesla,2025-6,01:52:10  [FORBES] (TSLA.O) - Musk Fires Top Tesla Exec Amid Plunging Tesla Sales in Europe & China -
Tesla,2025-6,"01:50:22  [YAHUKI] (TSLA.O) - Tesla hires former Cruise executive as AI director, Electrek reports -"
Tesla,2025-6,01:47:40  [FUTCOM] - Elon Musk's Latest Rocket Crash Allegedly Killed Innocent Dolphins and Sea Turtles -
Tesla,2025-6,01:46:20  [YAHNEX] (TSLA.O) - Elon Musk's loyal and trusted Tesla 'fixer' takes the fall for dismal EV sales -
Tesla,2025-6,"Tesla taps Henry Kuang, former Cruise autonomy chief, as AI director amid major leadership exits."
Tesla,2025-6,"01:42:44  [GLOTRA] (TSLA.O .NDX) - Tesla (TSLA: $325.0) keeps sliding, down 6.8% in 4 days; -78c [-0.2%] -"
Tesla,2025-6,"01:42:14  [GLOSTO] (TSLA.O) - Tesla among top gainers of Weitzel Financial Services holdings; jumps 25% in 87 days, ranks 9 in today's top 16 falls; -78c [-0.2%] -"
Tesla,2025-6,"01:42:07  [GLOSTO] (TSLA.O) - Tesla (TSLA: $325.0) in 4th consecutive fall, ranks 9 in today's top 16 falls; -78c [-0.2%] -"
Tesla,2025-6,01:38:11  [YAHNEX] (TSLA.O) - Tesla Stock Rises to Close Out Wild Week. It's Robo-Taxis vs. Sliding Sales. -
Tesla,2025-6,"01:37:33  [WATNEW] (TSLA.O) - Bessemer Group Inc. Sells 51,306 Shares of Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-6,"01:36:27  [RTRS] (TSLA.O GM.N) - Tesla hires former Cruise executive as AI director, Electrek reports -"
Tesla,2025-6,"01:35:34  [CERGEM] (TSLA.O) - Bessemer Group Inc. Cuts Holdings in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-6,"01:34:58  [CERGEM] (TSLA.O) - Tesla, Inc. (NASDAQ:TSLA) Shares Bought by HighMark Wealth Management LLC -"
Tesla,2025-6,"01:34:53  [CERGEM] (TSLA.O) - Holistic Planning LLC Increases Position in Tesla, Inc. (NASDAQ:TSLA) -"
Tesla,2025-6,"01:26:03  [RTRS] (TSLA.O NVDA.O) - The Week in Numbers: cool oil, hot Nvidia (NEWSCASTS) -"
Tesla,2025-6,01:19:19  [EDICNN] - Elon Musk isn't happy with his AI chatbot. Experts worry he's trying to make Grok 4 in his image -
