firm_id,date,roe,debt_ratio,gross_margin,inventory_turnover,current_ratio,cash_shortterm,total_assets
Walmart,2017-01,0.1827,0.5672,0.254,8.25,0.77,6545.0,199718.0
Walmart,2017-02,0.1827,0.5672,0.254,8.25,0.77,6545.0,199718.0
Walmart,2017-03,0.1827,0.5672,0.254,8.25,0.77,6545.0,199718.0
Walmart,2017-04,0.1665,0.5465,0.2581,8.39,0.78,6469.0,201566.0
Walmart,2017-05,0.1665,0.5465,0.2581,8.39,0.78,6469.0,201566.0
Walmart,2017-06,0.1665,0.5465,0.2581,8.39,0.78,6469.0,201566.0
Walmart,2017-07,0.1488,0.5767,0.2568,7.37,0.81,7026.0,209414.0
Walmart,2017-08,0.1488,0.5767,0.2568,7.37,0.81,7026.0,209414.0
Walmart,2017-09,0.1488,0.5767,0.2568,7.37,0.81,7026.0,209414.0
Walmart,2017-10,0.1216,0.5252,0.2468,8.6,0.76,6456.0,204522.0
Walmart,2017-11,0.1216,0.5252,0.2468,8.6,0.76,6456.0,204522.0
Walmart,2017-12,0.1216,0.5252,0.2468,8.6,0.76,6456.0,204522.0
Brunswick,2017-01,0.2054,0.2998,0.2746,4.18,1.75,274.0,3273.9
Brunswick,2017-02,0.2054,0.2998,0.2746,4.18,1.75,274.0,3273.9
Brunswick,2017-03,0.2054,0.2998,0.2746,4.18,1.75,274.0,3273.9
Brunswick,2017-04,0.1958,0.2869,0.2685,4.64,1.8,438.0,3383.7
Brunswick,2017-05,0.1958,0.2869,0.2685,4.64,1.8,438.0,3383.7
Brunswick,2017-06,0.1958,0.2869,0.2685,4.64,1.8,438.0,3383.7
Brunswick,2017-07,0.1871,0.2814,0.2797,4.31,1.81,391.9,3399.2
Brunswick,2017-08,0.1871,0.2814,0.2797,4.31,1.81,391.9,3399.2
Brunswick,2017-09,0.1871,0.2814,0.2797,4.31,1.81,391.9,3399.2
Brunswick,2017-10,0.115,0.295,-0.002487,3.74,1.78,449.6,3358.2
Brunswick,2017-11,0.115,0.295,-0.002487,3.74,1.78,449.6,3358.2
Brunswick,2017-12,0.115,0.295,-0.002487,3.74,1.78,449.6,3358.2
Chevron,2017-01,0.0196,0.3062,0.308,13.65,1.04,6994.0,258111.0
Chevron,2017-02,0.0196,0.3062,0.308,13.65,1.04,6994.0,258111.0
Chevron,2017-03,0.0196,0.3062,0.308,13.65,1.04,6994.0,258111.0
Chevron,2017-04,0.0397,0.2908,0.2783,13.84,0.95,4775.0,254599.0
Chevron,2017-05,0.0397,0.2908,0.2783,13.84,0.95,4775.0,254599.0
Chevron,2017-06,0.0397,0.2908,0.2783,13.84,0.95,4775.0,254599.0
Chevron,2017-07,0.0443,0.2838,0.2995,15.4,1.04,6654.0,255160.0
Chevron,2017-08,0.0443,0.2838,0.2995,15.4,1.04,6654.0,255160.0
Chevron,2017-09,0.0443,0.2838,0.2995,15.4,1.04,6654.0,255160.0
Chevron,2017-10,0.0489,0.2596,0.2923,17.29,1.03,4822.0,253806.0
Chevron,2017-11,0.0489,0.2596,0.2923,17.29,1.03,4822.0,253806.0
Chevron,2017-12,0.0489,0.2596,0.2923,17.29,1.03,4822.0,253806.0
Civmec ,2017-01,0.0528,0.262,0.0943,3.4,2.45,8.09,198.2
Civmec ,2017-02,0.0528,0.262,0.0943,3.4,2.45,8.09,198.2
Civmec ,2017-03,0.0528,0.262,0.0943,3.4,2.45,8.09,198.2
